plotID,errorLocation,errorType,errorMsg
STREATHAM_S6.1_P3123_R2,"('crop1Name',)",enum,"Input should be 'wheat', 'barley', 'canola', 'lupins', 'peas', 'vetch', 'oat', 'triticale', 'pasture', 'lentil', 'chickpea', 'fababean', 'fieldpea' or 'millet'"
STREATHAM_S6.1_P3123_R2,checkPlotState,<class 'ValueError'>,"Check plot STREATHAM_S6.1_P3123_R2. Terminated crops must match planted crops
 Croppasts,gnot in planted set"
STREATHAM_S6.1_P1231_R3,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S6.1_P1231_R3 is already in a fallow state. You cannot terminate a fallow state
STREATHAM_S6.1_P2312_R3,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S6.1_P2312_R3 is already in a fallow state. You cannot terminate a fallow state
STREATHAM_S6.1_P3123_R3,"('crop1Name',)",enum,"Input should be 'wheat', 'barley', 'canola', 'lupins', 'peas', 'vetch', 'oat', 'triticale', 'pasture', 'lentil', 'chickpea', 'fababean', 'fieldpea' or 'millet'"
STREATHAM_S6.1_P3123_R3,checkPlotState,<class 'ValueError'>,"Check plot STREATHAM_S6.1_P3123_R3. Terminated crops must match planted crops
 Croppasts,gnot in planted set"
STREATHAM_S6.2_P1231_R1,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S6.2_P1231_R1 is already in a fallow state. You cannot terminate a fallow state
STREATHAM_S6.2_P2312_R1,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S6.2_P2312_R1 is already in a fallow state. You cannot terminate a fallow state
STREATHAM_S6.2_P3123_R1,"('crop1Name',)",enum,"Input should be 'wheat', 'barley', 'canola', 'lupins', 'peas', 'vetch', 'oat', 'triticale', 'pasture', 'lentil', 'chickpea', 'fababean', 'fieldpea' or 'millet'"
STREATHAM_S6.2_P3123_R1,checkPlotState,<class 'ValueError'>,"Check plot STREATHAM_S6.2_P3123_R1. Terminated crops must match planted crops
 Croppasts,gnot in planted set"
STREATHAM_S6.2_P1231_R2,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S6.2_P1231_R2 is already in a fallow state. You cannot terminate a fallow state
STREATHAM_S6.2_P2312_R2,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S6.2_P2312_R2 is already in a fallow state. You cannot terminate a fallow state
STREATHAM_S6.2_P3123_R2,"('crop1Name',)",enum,"Input should be 'wheat', 'barley', 'canola', 'lupins', 'peas', 'vetch', 'oat', 'triticale', 'pasture', 'lentil', 'chickpea', 'fababean', 'fieldpea' or 'millet'"
STREATHAM_S6.2_P3123_R2,checkPlotState,<class 'ValueError'>,"Check plot STREATHAM_S6.2_P3123_R2. Terminated crops must match planted crops
 Croppasts,gnot in planted set"
STREATHAM_S6.2_P1231_R3,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S6.2_P1231_R3 is already in a fallow state. You cannot terminate a fallow state
STREATHAM_S6.2_P2312_R3,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S6.2_P2312_R3 is already in a fallow state. You cannot terminate a fallow state
STREATHAM_S6.2_P3123_R3,"('crop1Name',)",enum,"Input should be 'wheat', 'barley', 'canola', 'lupins', 'peas', 'vetch', 'oat', 'triticale', 'pasture', 'lentil', 'chickpea', 'fababean', 'fieldpea' or 'millet'"
STREATHAM_S6.2_P3123_R3,checkPlotState,<class 'ValueError'>,"Check plot STREATHAM_S6.2_P3123_R3. Terminated crops must match planted crops
 Croppasts,gnot in planted set"
STREATHAM_S7_P1234_R1,"('crop1Name',)",enum,"Input should be 'wheat', 'barley', 'canola', 'lupins', 'peas', 'vetch', 'oat', 'triticale', 'pasture', 'lentil', 'chickpea', 'fababean', 'fieldpea' or 'millet'"
STREATHAM_S7_P1234_R1,checkPlotState,<class 'ValueError'>,"Check plot STREATHAM_S7_P1234_R1. Terminated crops must match planted crops
 Croppastnot in planted set"
STREATHAM_S7_P2341_R1,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S7_P2341_R1 is already in a fallow state. You cannot terminate a fallow state
STREATHAM_S7_P3412_R1,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S7_P3412_R1 is already in a fallow state. You cannot terminate a fallow state
STREATHAM_S7_P4123_R1,"('crop1Name',)",enum,"Input should be 'wheat', 'barley', 'canola', 'lupins', 'peas', 'vetch', 'oat', 'triticale', 'pasture', 'lentil', 'chickpea', 'fababean', 'fieldpea' or 'millet'"
STREATHAM_S7_P4123_R1,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S7_P4123_R1 is already in a fallow state. You cannot terminate a fallow state
STREATHAM_S7_P1234_R2,"('crop1Name',)",enum,"Input should be 'wheat', 'barley', 'canola', 'lupins', 'peas', 'vetch', 'oat', 'triticale', 'pasture', 'lentil', 'chickpea', 'fababean', 'fieldpea' or 'millet'"
STREATHAM_S7_P1234_R2,checkPlotState,<class 'ValueError'>,"Check plot STREATHAM_S7_P1234_R2. Terminated crops must match planted crops
 Croppastnot in planted set"
STREATHAM_S7_P2341_R2,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S7_P2341_R2 is already in a fallow state. You cannot terminate a fallow state
STREATHAM_S7_P3412_R2,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S7_P3412_R2 is already in a fallow state. You cannot terminate a fallow state
STREATHAM_S7_P4123_R2,"('crop1Name',)",enum,"Input should be 'wheat', 'barley', 'canola', 'lupins', 'peas', 'vetch', 'oat', 'triticale', 'pasture', 'lentil', 'chickpea', 'fababean', 'fieldpea' or 'millet'"
STREATHAM_S7_P4123_R2,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S7_P4123_R2 is already in a fallow state. You cannot terminate a fallow state
STREATHAM_S7_P1234_R3,"('crop1Name',)",enum,"Input should be 'wheat', 'barley', 'canola', 'lupins', 'peas', 'vetch', 'oat', 'triticale', 'pasture', 'lentil', 'chickpea', 'fababean', 'fieldpea' or 'millet'"
STREATHAM_S7_P1234_R3,checkPlotState,<class 'ValueError'>,"Check plot STREATHAM_S7_P1234_R3. Terminated crops must match planted crops
 Croppastnot in planted set"
STREATHAM_S7_P2341_R3,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S7_P2341_R3 is already in a fallow state. You cannot terminate a fallow state
STREATHAM_S7_P3412_R3,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S7_P3412_R3 is already in a fallow state. You cannot terminate a fallow state
STREATHAM_S7_P4123_R3,"('crop1Name',)",enum,"Input should be 'wheat', 'barley', 'canola', 'lupins', 'peas', 'vetch', 'oat', 'triticale', 'pasture', 'lentil', 'chickpea', 'fababean', 'fieldpea' or 'millet'"
STREATHAM_S7_P4123_R3,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S7_P4123_R3 is already in a fallow state. You cannot terminate a fallow state
STREATHAM_S8_P1231_R1,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S8_P1231_R1 is already in a fallow state. You cannot terminate a fallow state
STREATHAM_S8_P2312_R1,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S8_P2312_R1 is already in a fallow state. You cannot terminate a fallow state
STREATHAM_S8_P1231_R2,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S8_P1231_R2 is already in a fallow state. You cannot terminate a fallow state
STREATHAM_S8_P2312_R2,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S8_P2312_R2 is already in a fallow state. You cannot terminate a fallow state
STREATHAM_S8_P1231_R3,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S8_P1231_R3 is already in a fallow state. You cannot terminate a fallow state
STREATHAM_S8_P2312_R3,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S8_P2312_R3 is already in a fallow state. You cannot terminate a fallow state
STREATHAM_S9.1_P1212_R1,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S9.1_P1212_R1 is already in a fallow state. You cannot terminate a fallow state
STREATHAM_S9.1_P1212_R2,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S9.1_P1212_R2 is already in a fallow state. You cannot terminate a fallow state
STREATHAM_S9.1_P1212_R3,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S9.1_P1212_R3 is already in a fallow state. You cannot terminate a fallow state
STREATHAM_S9.2_P1212_R1,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S9.2_P1212_R1 is already in a fallow state. You cannot terminate a fallow state
STREATHAM_S9.2_P1212_R2,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S9.2_P1212_R2 is already in a fallow state. You cannot terminate a fallow state
STREATHAM_S9.2_P1212_R3,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S9.2_P1212_R3 is already in a fallow state. You cannot terminate a fallow state
STREATHAM_S9.3_P1212_R1,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S9.3_P1212_R1 is already in a fallow state. You cannot terminate a fallow state
STREATHAM_S9.3_P1212_R2,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S9.3_P1212_R2 is already in a fallow state. You cannot terminate a fallow state
STREATHAM_S9.3_P1212_R3,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S9.3_P1212_R3 is already in a fallow state. You cannot terminate a fallow state
