,site,plot,year,crop_sequence,operational_costs_dollars,material_input_costs_dollars,crop_1_name,crop_2_name,crop_3_name,crop_1_yield,crop_2_yield,crop_3_yield,plot_revenue_dollars,plot_gross_margin_dollars
0,roseworthy,ROSEWORTHY_S8_P0121_R1,2024,1,182.5,394.53,Lentil,,,,,,614.369431425,37.33943142500004
1,roseworthy,ROSEWORTHY_S1.2_P3123_R2,2023,1,279.0,592.1894,Lentil,,,,,,1490.89,619.7006000000001
2,roseworthy,ROSEWORTHY_S1.2_P3123_R2,2023,2,193.5,478.53000000000003,Lentil,,,,,,748.7078046,76.6778046
3,roseworthy,ROSEWORTHY_S1.2_P3123_R3,2023,1,268.0,592.1894,Lentil,,,,,,1522.5,662.3106
4,roseworthy,ROSEWORTHY_S1.2_P3123_R3,2023,2,193.5,478.53000000000003,Lentil,,,,,,553.6397688,-118.39023120000007
5,roseworthy,ROSEWORTHY_S6_P0000_R1,2023,1,257.0,592.1894,Lentil,,,,,,1890.56,1041.3706
6,roseworthy,ROSEWORTHY_S6_P0000_R1,2023,2,202.0,258.456,Lentil,,,,,,5.2142912514,-455.2417087486
7,roseworthy,ROSEWORTHY_S3_P1212_R2,2023,1,248.5,576.9044,Lentil,,,,,,0.0,-825.4044
8,roseworthy,ROSEWORTHY_S3_P1212_R2,2023,2,193.5,249.936,Lentil,,,,,,676.0199132800001,232.58391328000008
9,roseworthy,ROSEWORTHY_S3_P2121_R2,2023,1,257.0,592.1894,Lentil,,,,,,1771.492,922.3026
10,roseworthy,ROSEWORTHY_S3_P2121_R2,2023,2,182.5,298.45500000000004,Lentil,,,,,,0.0,-480.95500000000004
11,roseworthy,ROSEWORTHY_S4_P3123_R3,2023,1,270.5,558.6094,Lentil,,,,,,1350.65,521.5406
12,roseworthy,ROSEWORTHY_S4_P3123_R3,2023,2,193.5,267.18,Lentil,,,,,,662.17762931221,201.49762931221
13,roseworthy,ROSEWORTHY_S4_P2312_R3,2023,1,270.5,816.4513999999999,Lentil,,,,,,1507.43,420.47860000000014
14,roseworthy,ROSEWORTHY_S4_P2312_R3,2023,2,171.5,232.98000000000002,Lentil,,,,,,426.2611510056,21.78115100560001
15,roseworthy,ROSEWORTHY_S5_P0000_R3,2023,1,285.0,695.1294,Lentil,,,,,,1396.56,416.4305999999999
16,roseworthy,ROSEWORTHY_S5_P0000_R3,2023,2,193.5,249.936,Lentil,,,,,,550.808096,107.37209599999997
17,roseworthy,ROSEWORTHY_S8_P0212_R3,2024,1,180.0,231.98,Lentil,,,,,,532.059805728,120.07980572800003
18,roseworthy,ROSEWORTHY_S2_P1212_R1,2023,1,281.5,786.8794,Lentil,,,,,,1522.5,454.12059999999997
19,roseworthy,ROSEWORTHY_S2_P1212_R1,2023,2,202.0,289.93600000000004,Lentil,,,,,,1153.56379424,661.6277942400001
20,roseworthy,ROSEWORTHY_S1.1_P3123_R1,2023,1,279.0,592.1894,Lentil,,,,,,1525.4,654.2106000000001
21,roseworthy,ROSEWORTHY_S1.1_P3123_R1,2023,2,193.5,478.53,Lentil,,,,,,804.8121885,132.78218850000007
22,roseworthy,ROSEWORTHY_S4_P2312_R1,2023,1,270.5,816.4513999999999,Lentil,,,,,,1409.27,322.31860000000006
23,roseworthy,ROSEWORTHY_S4_P2312_R1,2023,2,182.5,232.98000000000002,Lentil,,,,,,313.69790903919994,-101.78209096080008
24,roseworthy,ROSEWORTHY_S3_P1212_R3,2023,1,259.5,576.9044,Lentil,,,,,,0.0,-836.4044
25,roseworthy,ROSEWORTHY_S3_P1212_R3,2023,2,182.5,249.936,Lentil,,,,,,593.47573024,161.03973023999995
26,roseworthy,ROSEWORTHY_S2_P2121_R3,2023,1,279.0,592.1894,Lentil,,,,,,1078.132,206.94260000000008
27,roseworthy,ROSEWORTHY_S2_P2121_R3,2023,2,182.5,478.53,Lentil,,,,,,681.00544185,19.97544185000004
28,roseworthy,ROSEWORTHY_S1.2_P3123_R1,2023,1,268.0,592.1894,Lentil,,,,,,1470.01,609.8206
29,roseworthy,ROSEWORTHY_S1.2_P3123_R1,2023,2,182.5,478.53000000000003,Lentil,,,,,,775.6069365,114.57693649999993
30,roseworthy,ROSEWORTHY_S1.2_P2312_R1,2023,1,268.0,592.1894,Lentil,,,,,,1788.8,928.6106
31,roseworthy,ROSEWORTHY_S1.2_P2312_R1,2023,2,202.0,289.93600000000004,Lentil,,,,,,628.7356919,136.79969189999997
32,roseworthy,ROSEWORTHY_S2_P2121_R2,2023,1,268.0,592.1894,Lentil,,,,,,1550.216,690.0265999999999
33,roseworthy,ROSEWORTHY_S2_P2121_R2,2023,2,182.5,478.53,Lentil,,,,,,770.36491725,109.33491724999999
34,roseworthy,ROSEWORTHY_S4_P2312_R2,2023,1,270.5,816.4513999999999,Lentil,,,,,,1400.63,313.6786000000002
35,roseworthy,ROSEWORTHY_S4_P2312_R2,2023,2,182.5,232.98000000000002,Lentil,,,,,,402.4891824504,-12.990817549600024
36,roseworthy,ROSEWORTHY_S1.1_P1231_R2,2023,1,281.5,786.8794,Lentil,,,,,,838.5,-229.87940000000003
37,roseworthy,ROSEWORTHY_S1.1_P1231_R2,2023,2,191.0,299.93600000000004,Lentil,,,,,,601.6714854400001,110.73548544000005
38,roseworthy,ROSEWORTHY_S1.1_P3123_R2,2023,1,257.0,592.1894,Lentil,,,,,,1579.63,730.4406000000001
39,roseworthy,ROSEWORTHY_S1.1_P3123_R2,2023,2,193.5,478.53,Lentil,,,,,,341.6074707,-330.42252929999995
40,roseworthy,ROSEWORTHY_S1.1_P1231_R3,2023,1,270.5,786.8794,Lentil,,,,,,1349.25,291.87059999999997
41,roseworthy,ROSEWORTHY_S1.1_P1231_R3,2023,2,202.0,299.93600000000004,Lentil,,,,,,637.2072371200001,135.27123712000002
42,roseworthy,ROSEWORTHY_S1.1_P2312_R3,2023,1,279.0,592.1894,Lentil,,,,,,1490.88,619.6906000000001
43,roseworthy,ROSEWORTHY_S1.1_P2312_R3,2023,2,202.0,299.93600000000004,Lentil,,,,,,179.119033194,-322.81696680600004
44,roseworthy,ROSEWORTHY_S4_P3123_R1,2023,1,270.5,558.6094,Lentil,,,,,,1366.12,537.0105999999998
45,roseworthy,ROSEWORTHY_S4_P3123_R1,2023,2,193.5,267.18,Lentil,,,,,,964.2959186454,503.6159186454
46,roseworthy,ROSEWORTHY_S1.2_P1231_R3,2023,1,270.5,786.8794,Lentil,,,,,,1109.25,51.87059999999997
47,roseworthy,ROSEWORTHY_S1.2_P1231_R3,2023,2,191.0,289.93600000000004,Lentil,,,,,,485.4578016,4.521801599999947
48,roseworthy,ROSEWORTHY_S4_P1231_R2,2023,1,281.5,579.2794,Lentil,,,,,,1300.596,439.8166
49,roseworthy,ROSEWORTHY_S4_P1231_R2,2023,2,171.5,439.23,Lentil,,,,,,554.5648738474999,-56.16512615250008
50,roseworthy,ROSEWORTHY_S8_P0212_R2,2024,1,180.0,231.98,Lentil,,,,,,308.96147436,-103.01852563999998
51,roseworthy,ROSEWORTHY_S7_P0000_R2,2023,1,257.0,6808.229399999999,Lentil,,,,,,1530.1,-5535.1294
52,roseworthy,ROSEWORTHY_S7_P0000_R2,2023,2,182.5,10348.086,Lentil,,,,,,387.08837616,-10143.49762384
53,roseworthy,ROSEWORTHY_S7_P0000_R3,2023,1,257.0,6808.229399999999,Lentil,,,,,,1796.316,-5268.9133999999995
54,roseworthy,ROSEWORTHY_S7_P0000_R3,2023,2,182.5,10348.086,Lentil,,,,,,180.13815971999998,-10350.44784028
55,roseworthy,ROSEWORTHY_S1.2_P2312_R3,2023,1,279.0,592.1894,Lentil,,,,,,1201.28,330.0906
56,roseworthy,ROSEWORTHY_S1.2_P2312_R3,2023,2,191.0,289.93600000000004,Lentil,,,,,,146.69071798,-334.24528202000005
57,roseworthy,ROSEWORTHY_S6_P0000_R2,2023,1,279.0,592.1894,Lentil,,,,,,1697.92,826.7306000000001
58,roseworthy,ROSEWORTHY_S6_P0000_R2,2023,2,202.0,258.456,Lentil,,,,,,3.1368733572,-457.31912664280003
59,roseworthy,ROSEWORTHY_S1.2_P2312_R2,2023,1,279.0,592.1894,Lentil,,,,,,1796.16,924.9706000000001
60,roseworthy,ROSEWORTHY_S1.2_P2312_R2,2023,2,202.0,289.93600000000004,Lentil,,,,,,391.34563822,-100.59036178000002
61,roseworthy,ROSEWORTHY_S3_P2121_R1,2023,1,279.0,592.1894,Lentil,,,,,,1574.184,702.9946
62,roseworthy,ROSEWORTHY_S3_P2121_R1,2023,2,182.5,298.45500000000004,Lentil,,,,,,0.0,-480.95500000000004
63,roseworthy,ROSEWORTHY_S5_P0000_R1,2023,1,274.0,695.1294,Lentil,,,,,,1787.28,818.1505999999999
64,roseworthy,ROSEWORTHY_S5_P0000_R1,2023,2,193.5,249.936,Lentil,,,,,,639.5596383999999,196.12363839999992
65,roseworthy,ROSEWORTHY_S6_P0000_R3,2023,1,268.0,592.1894,Lentil,,,,,,1117.76,257.5706
66,roseworthy,ROSEWORTHY_S6_P0000_R3,2023,2,191.0,258.456,Lentil,,,,,,0.74487346829,-448.71112653171
67,roseworthy,ROSEWORTHY_S3_P1212_R1,2023,1,248.5,576.9044,Lentil,,,,,,0.0,-825.4044
68,roseworthy,ROSEWORTHY_S3_P1212_R1,2023,2,182.5,249.936,Lentil,,,,,,767.0964707200001,334.66047072000003
69,roseworthy,ROSEWORTHY_S8_P0121_R2,2024,1,182.5,394.53,Lentil,,,,,,585.82232295,8.79232294999997
70,roseworthy,ROSEWORTHY_S1.1_P2312_R1,2023,1,268.0,592.1894,Lentil,,,,,,1607.36,747.1705999999999
71,roseworthy,ROSEWORTHY_S1.1_P2312_R1,2023,2,202.0,299.93600000000004,Lentil,,,,,,262.74655913299995,-239.1894408670001
72,roseworthy,ROSEWORTHY_S1.2_P1231_R2,2023,1,270.5,786.8794,Lentil,,,,,,1140.75,83.37059999999997
73,roseworthy,ROSEWORTHY_S1.2_P1231_R2,2023,2,202.0,289.93600000000004,Lentil,,,,,,680.6755664,188.73956639999994
74,roseworthy,ROSEWORTHY_S3_P2121_R3,2023,1,268.0,592.1894,Lentil,,,,,,971.56,111.37059999999997
75,roseworthy,ROSEWORTHY_S3_P2121_R3,2023,2,182.5,298.45500000000004,Lentil,,,,,,0.0,-480.95500000000004
76,roseworthy,ROSEWORTHY_S8_P0121_R3,2024,1,182.5,394.53,Lentil,,,,,,754.896954,177.86695400000008
77,roseworthy,ROSEWORTHY_S4_P3123_R2,2023,1,259.5,558.6094,Lentil,,,,,,1405.41,587.3006
78,roseworthy,ROSEWORTHY_S4_P3123_R2,2023,2,193.5,267.18,Lentil,,,,,,930.7277725196,470.04777251959996
79,roseworthy,ROSEWORTHY_S5_P0000_R2,2023,1,274.0,695.1294,Lentil,,,,,,1840.08,870.9505999999999
80,roseworthy,ROSEWORTHY_S5_P0000_R2,2023,2,193.5,249.936,Lentil,,,,,,484.94543456,41.50943456000002
81,roseworthy,ROSEWORTHY_S1.1_P3123_R3,2023,1,279.0,592.1894,Lentil,,,,,,1367.9299999999998,496.74059999999986
82,roseworthy,ROSEWORTHY_S1.1_P3123_R3,2023,2,182.5,478.53000000000003,Lentil,,,,,,729.6448116,68.6148116
83,roseworthy,ROSEWORTHY_S1.2_P1231_R1,2023,1,270.5,786.8794,Lentil,,,,,,1215.75,158.37059999999997
84,roseworthy,ROSEWORTHY_S1.2_P1231_R1,2023,2,191.0,289.93600000000004,Lentil,,,,,,804.7263039999999,323.7903039999999
85,roseworthy,ROSEWORTHY_S2_P1212_R3,2023,1,270.5,786.8794,Lentil,,,,,,1179.0,121.62059999999997
86,roseworthy,ROSEWORTHY_S2_P1212_R3,2023,2,191.0,289.93600000000004,Lentil,,,,,,608.440472,127.50447199999996
87,roseworthy,ROSEWORTHY_S4_P1231_R3,2023,1,281.5,579.2794,Lentil,,,,,,1423.499,562.7196
88,roseworthy,ROSEWORTHY_S4_P1231_R3,2023,2,182.5,439.23,Lentil,,,,,,560.5840651325,-61.145934867500046
89,roseworthy,ROSEWORTHY_S1.1_P2312_R2,2023,1,268.0,592.1894,Lentil,,,,,,1633.28,773.0906
90,roseworthy,ROSEWORTHY_S1.1_P2312_R2,2023,2,202.0,299.93600000000004,Lentil,,,,,,441.46737671,-60.46862329000004
91,roseworthy,ROSEWORTHY_S7_P0000_R1,2023,1,279.0,6808.229399999999,Lentil,,,,,,1407.264,-5679.965399999999
92,roseworthy,ROSEWORTHY_S7_P0000_R1,2023,2,182.5,10348.086,Lentil,,,,,,640.23085313,-9890.355146869999
93,roseworthy,ROSEWORTHY_S2_P1212_R2,2023,1,281.5,786.8794,Lentil,,,,,,1095.0,26.620599999999968
94,roseworthy,ROSEWORTHY_S2_P1212_R2,2023,2,202.0,289.93600000000004,Lentil,,,,,,520.36017696,28.424176959999954
95,roseworthy,ROSEWORTHY_S8_P0212_R1,2024,1,180.0,231.98,Lentil,,,,,,247.48459384,-164.49540616
96,roseworthy,ROSEWORTHY_S2_P2121_R1,2023,1,268.0,592.1894,Lentil,,,,,,1452.632,592.4426000000001
97,roseworthy,ROSEWORTHY_S2_P2121_R1,2023,2,182.5,478.53000000000003,Lentil,,,,,,768.5064937499999,107.47649374999986
98,roseworthy,ROSEWORTHY_S4_P1231_R1,2023,1,281.5,579.2794,Lentil,,,,,,1490.83,630.0505999999999
99,roseworthy,ROSEWORTHY_S4_P1231_R1,2023,2,171.5,439.23,Lentil,,,,,,495.26255966,-115.46744034
100,roseworthy,ROSEWORTHY_S1.1_P1231_R1,2023,1,270.5,786.8794,Lentil,,,,,,1487.25,429.87059999999997
101,roseworthy,ROSEWORTHY_S1.1_P1231_R1,2023,2,191.0,299.93600000000004,Lentil,,,,,,751.59957216,260.66357215999994
102,warrambine,WARRAMBINE_S4_P1231_R3,2023,1,215.5,458.03800000000007,Lentil,,,,,,0.0,-673.538
103,warrambine,WARRAMBINE_S3_P3123_R3,2023,1,221.5,775.8506,Lentil,,,,,,1400.0,402.6494
104,warrambine,WARRAMBINE_S3_P2312_R3,2023,1,243.5,708.108,Lentil,,,,,,2511.52,1559.912
