,plotID,errorLocation,errorType,errorMsg
259,MANANG_S8.2_P1231_R2,checkPlotState,<class 'ValueError'>,Plot MANANG_S8.2_P1231_R2 is already in a fallow state. You cannot terminate a fallow state
260,MANANG_S8.1_P1231_R3,checkPlotState,<class 'ValueError'>,Plot MANANG_S8.1_P1231_R3 is already in a fallow state. You cannot terminate a fallow state
261,MANANG_S8.1_P1231_R3,checkPlotState,<class 'ValueError'>,Plot MANANG_S8.1_P1231_R3 is already in a fallow state. You cannot terminate a fallow state
262,MANANG_S8.2_P1231_R3,checkPlotState,<class 'ValueError'>,Plot MANANG_S8.2_P1231_R3 is already in a fallow state. You cannot terminate a fallow state
263,MANANG_S8.2_P1231_R3,checkPlotState,<class 'ValueError'>,Plot MANANG_S8.2_P1231_R3 is already in a fallow state. You cannot terminate a fallow state
264,MANANG_S8.1_P2312_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S8.1_P2312_R1 is already in a fallow state. You cannot terminate a fallow state
265,MANANG_S8.1_P2312_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S8.1_P2312_R1 is already in a fallow state. You cannot terminate a fallow state
266,MANANG_S8.2_P2312_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S8.2_P2312_R1 is already in a fallow state. You cannot terminate a fallow state
267,MANANG_S8.2_P2312_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S8.2_P2312_R1 is already in a fallow state. You cannot terminate a fallow state
268,MANANG_S8.1_P2312_R2,checkPlotState,<class 'ValueError'>,Plot MANANG_S8.1_P2312_R2 is already in a fallow state. You cannot terminate a fallow state
269,MANANG_S8.1_P2312_R2,checkPlotState,<class 'ValueError'>,Plot MANANG_S8.1_P2312_R2 is already in a fallow state. You cannot terminate a fallow state
270,MANANG_S8.2_P2312_R2,checkPlotState,<class 'ValueError'>,Plot MANANG_S8.2_P2312_R2 is already in a fallow state. You cannot terminate a fallow state
271,MANANG_S8.2_P2312_R2,checkPlotState,<class 'ValueError'>,Plot MANANG_S8.2_P2312_R2 is already in a fallow state. You cannot terminate a fallow state
272,MANANG_S8.1_P2312_R3,checkPlotState,<class 'ValueError'>,Plot MANANG_S8.1_P2312_R3 is already in a fallow state. You cannot terminate a fallow state
273,MANANG_S8.1_P2312_R3,checkPlotState,<class 'ValueError'>,Plot MANANG_S8.1_P2312_R3 is already in a fallow state. You cannot terminate a fallow state
274,MANANG_S8.2_P2312_R3,checkPlotState,<class 'ValueError'>,Plot MANANG_S8.2_P2312_R3 is already in a fallow state. You cannot terminate a fallow state
275,MANANG_S8.2_P2312_R3,checkPlotState,<class 'ValueError'>,Plot MANANG_S8.2_P2312_R3 is already in a fallow state. You cannot terminate a fallow state
276,MANANG_S8.1_P3123_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S8.1_P3123_R1 is already in a fallow state. You cannot terminate a fallow state
277,MANANG_S8.1_P3123_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S8.1_P3123_R1 is already in a fallow state. You cannot terminate a fallow state
278,MANANG_S8.2_P3123_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S8.2_P3123_R1 is already in a fallow state. You cannot terminate a fallow state
279,MANANG_S8.2_P3123_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S8.2_P3123_R1 is already in a fallow state. You cannot terminate a fallow state
280,MANANG_S8.1_P3123_R2,checkPlotState,<class 'ValueError'>,Plot MANANG_S8.1_P3123_R2 is already in a fallow state. You cannot terminate a fallow state
281,MANANG_S8.1_P3123_R2,checkPlotState,<class 'ValueError'>,Plot MANANG_S8.1_P3123_R2 is already in a fallow state. You cannot terminate a fallow state
282,MANANG_S8.2_P3123_R2,checkPlotState,<class 'ValueError'>,Plot MANANG_S8.2_P3123_R2 is already in a fallow state. You cannot terminate a fallow state
283,MANANG_S8.2_P3123_R2,checkPlotState,<class 'ValueError'>,Plot MANANG_S8.2_P3123_R2 is already in a fallow state. You cannot terminate a fallow state
284,MANANG_S8.1_P3123_R3,checkPlotState,<class 'ValueError'>,Plot MANANG_S8.1_P3123_R3 is already in a fallow state. You cannot terminate a fallow state
285,MANANG_S8.1_P3123_R3,checkPlotState,<class 'ValueError'>,Plot MANANG_S8.1_P3123_R3 is already in a fallow state. You cannot terminate a fallow state
286,MANANG_S8.2_P3123_R3,checkPlotState,<class 'ValueError'>,Plot MANANG_S8.2_P3123_R3 is already in a fallow state. You cannot terminate a fallow state
287,MANANG_S8.2_P3123_R3,checkPlotState,<class 'ValueError'>,Plot MANANG_S8.2_P3123_R3 is already in a fallow state. You cannot terminate a fallow state
288,MANANG_S9_P1231_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S9_P1231_R1 is already in a fallow state. You cannot terminate a fallow state
289,MANANG_S9_P1231_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S9_P1231_R1 is already in a fallow state. You cannot terminate a fallow state
290,MANANG_S9_P1231_R2,checkPlotState,<class 'ValueError'>,Plot MANANG_S9_P1231_R2 is already in a fallow state. You cannot terminate a fallow state
291,MANANG_S9_P1231_R2,checkPlotState,<class 'ValueError'>,Plot MANANG_S9_P1231_R2 is already in a fallow state. You cannot terminate a fallow state
292,MANANG_S9_P1231_R3,checkPlotState,<class 'ValueError'>,Plot MANANG_S9_P1231_R3 is already in a fallow state. You cannot terminate a fallow state
293,MANANG_S9_P1231_R3,checkPlotState,<class 'ValueError'>,Plot MANANG_S9_P1231_R3 is already in a fallow state. You cannot terminate a fallow state
294,MANANG_S9_P2312_R1,(),value_error,"Value error, Please check your crop names. oats is not included in the allowed crops"
295,MANANG_S9_P2312_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S9_P2312_R1 is already in a fallow state. You cannot terminate a fallow state
296,MANANG_S9_P2312_R1,(),value_error,"Value error, Please check your crop names. oats is not included in the allowed crops"
297,MANANG_S9_P2312_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S9_P2312_R1 is already in a fallow state. You cannot terminate a fallow state
298,MANANG_S9_P2312_R2,(),value_error,"Value error, Please check your crop names. oats is not included in the allowed crops"
299,MANANG_S9_P2312_R2,checkPlotState,<class 'ValueError'>,Plot MANANG_S9_P2312_R2 is already in a fallow state. You cannot terminate a fallow state
300,MANANG_S9_P2312_R2,(),value_error,"Value error, Please check your crop names. oats is not included in the allowed crops"
301,MANANG_S9_P2312_R2,checkPlotState,<class 'ValueError'>,Plot MANANG_S9_P2312_R2 is already in a fallow state. You cannot terminate a fallow state
302,MANANG_S9_P2312_R3,(),value_error,"Value error, Please check your crop names. oats is not included in the allowed crops"
303,MANANG_S9_P2312_R3,checkPlotState,<class 'ValueError'>,Plot MANANG_S9_P2312_R3 is already in a fallow state. You cannot terminate a fallow state
304,MANANG_S9_P2312_R3,(),value_error,"Value error, Please check your crop names. oats is not included in the allowed crops"
305,MANANG_S9_P2312_R3,checkPlotState,<class 'ValueError'>,Plot MANANG_S9_P2312_R3 is already in a fallow state. You cannot terminate a fallow state
306,MANANG_S9_P3123_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S9_P3123_R1 is already in a fallow state. You cannot terminate a fallow state
307,MANANG_S9_P3123_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S9_P3123_R1 is already in a fallow state. You cannot terminate a fallow state
308,MANANG_S9_P3123_R2,checkPlotState,<class 'ValueError'>,Plot MANANG_S9_P3123_R2 is already in a fallow state. You cannot terminate a fallow state
309,MANANG_S9_P3123_R2,checkPlotState,<class 'ValueError'>,Plot MANANG_S9_P3123_R2 is already in a fallow state. You cannot terminate a fallow state
310,MANANG_S9_P3123_R3,checkPlotState,<class 'ValueError'>,Plot MANANG_S9_P3123_R3 is already in a fallow state. You cannot terminate a fallow state
311,MANANG_S9_P3123_R3,checkPlotState,<class 'ValueError'>,Plot MANANG_S9_P3123_R3 is already in a fallow state. You cannot terminate a fallow state
