,plotID,errorLocation,errorType,errorMsg
39,STREATHAM_S12_P0000_R1,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S12_P0000_R1 is already in a fallow state. You cannot terminate a fallow state
40,STREATHAM_S12_P0000_R1,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S12_P0000_R1 is already in a fallow state. You cannot terminate a fallow state
41,STREATHAM_S12_P0000_R1,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S12_P0000_R1 is already in a fallow state. You cannot terminate a fallow state
42,STREATHAM_S12_P0000_R2,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S12_P0000_R2 is already in a fallow state. You cannot terminate a fallow state
43,STREATHAM_S12_P0000_R2,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S12_P0000_R2 is already in a fallow state. You cannot terminate a fallow state
44,STREATHAM_S12_P0000_R2,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S12_P0000_R2 is already in a fallow state. You cannot terminate a fallow state
45,STREATHAM_S12_P0000_R3,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S12_P0000_R3 is already in a fallow state. You cannot terminate a fallow state
46,STREATHAM_S12_P0000_R3,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S12_P0000_R3 is already in a fallow state. You cannot terminate a fallow state
47,STREATHAM_S12_P0000_R3,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S12_P0000_R3 is already in a fallow state. You cannot terminate a fallow state
48,STREATHAM_S13_P0000_R1,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S13_P0000_R1 is already in a fallow state. You cannot terminate a fallow state
49,STREATHAM_S13_P0000_R1,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S13_P0000_R1 is already in a fallow state. You cannot terminate a fallow state
50,STREATHAM_S13_P0000_R1,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S13_P0000_R1 is already in a fallow state. You cannot terminate a fallow state
51,STREATHAM_S13_P0000_R2,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S13_P0000_R2 is already in a fallow state. You cannot terminate a fallow state
52,STREATHAM_S13_P0000_R2,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S13_P0000_R2 is already in a fallow state. You cannot terminate a fallow state
53,STREATHAM_S13_P0000_R2,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S13_P0000_R2 is already in a fallow state. You cannot terminate a fallow state
54,STREATHAM_S13_P0000_R3,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S13_P0000_R3 is already in a fallow state. You cannot terminate a fallow state
55,STREATHAM_S13_P0000_R3,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S13_P0000_R3 is already in a fallow state. You cannot terminate a fallow state
56,STREATHAM_S13_P0000_R3,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S13_P0000_R3 is already in a fallow state. You cannot terminate a fallow state
57,STREATHAM_S2.2_P1234_R1,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S2.2_P1234_R1 is already in a fallow state. You cannot terminate a fallow state
58,STREATHAM_S2.4_P1234_R1,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S2.4_P1234_R1 is already in a fallow state. You cannot terminate a fallow state
59,STREATHAM_S2.3_P1234_R1,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S2.3_P1234_R1 is already in a fallow state. You cannot terminate a fallow state
60,STREATHAM_S2.1_P1234_R1,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S2.1_P1234_R1 is already in a fallow state. You cannot terminate a fallow state
61,STREATHAM_S2.3_P1234_R2,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S2.3_P1234_R2 is already in a fallow state. You cannot terminate a fallow state
62,STREATHAM_S2.4_P1234_R2,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S2.4_P1234_R2 is already in a fallow state. You cannot terminate a fallow state
63,STREATHAM_S2.1_P1234_R2,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S2.1_P1234_R2 is already in a fallow state. You cannot terminate a fallow state
64,STREATHAM_S2.2_P1234_R2,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S2.2_P1234_R2 is already in a fallow state. You cannot terminate a fallow state
65,STREATHAM_S2.4_P1234_R3,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S2.4_P1234_R3 is already in a fallow state. You cannot terminate a fallow state
66,STREATHAM_S2.3_P1234_R3,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S2.3_P1234_R3 is already in a fallow state. You cannot terminate a fallow state
67,STREATHAM_S2.1_P1234_R3,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S2.1_P1234_R3 is already in a fallow state. You cannot terminate a fallow state
68,STREATHAM_S2.2_P1234_R3,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S2.2_P1234_R3 is already in a fallow state. You cannot terminate a fallow state
69,STREATHAM_S2.1_P2341_R1,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S2.1_P2341_R1 is already in a fallow state. You cannot terminate a fallow state
70,STREATHAM_S2.3_P2341_R1,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S2.3_P2341_R1 is already in a fallow state. You cannot terminate a fallow state
71,STREATHAM_S2.4_P2341_R1,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S2.4_P2341_R1 is already in a fallow state. You cannot terminate a fallow state
72,STREATHAM_S2.2_P2341_R1,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S2.2_P2341_R1 is already in a fallow state. You cannot terminate a fallow state
73,STREATHAM_S2.1_P2341_R2,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S2.1_P2341_R2 is already in a fallow state. You cannot terminate a fallow state
74,STREATHAM_S2.3_P2341_R2,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S2.3_P2341_R2 is already in a fallow state. You cannot terminate a fallow state
75,STREATHAM_S2.4_P2341_R2,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S2.4_P2341_R2 is already in a fallow state. You cannot terminate a fallow state
