plotID,errorLocation,errorType,errorMsg
KINNABULLA_S11_P1231_R3,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S11_P1231_R3 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S11_P2312_R1,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S11_P2312_R1 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S11_P2312_R2,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S11_P2312_R2 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S11_P2312_R3,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S11_P2312_R3 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S11_P3123_R1,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S11_P3123_R1 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S11_P3123_R2,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S11_P3123_R2 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S11_P3123_R3,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S11_P3123_R3 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S12_P0000_R1,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S12_P0000_R1 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S12_P0000_R2,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S12_P0000_R2 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S12_P0000_R3,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S12_P0000_R3 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S12_P0000_R4,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S12_P0000_R4 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S12_P0000_R5,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S12_P0000_R5 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S12_P0000_R6,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S12_P0000_R6 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S12_P0000_R7,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S12_P0000_R7 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S12_P0000_R8,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S12_P0000_R8 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S12_P0000_R9,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S12_P0000_R9 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S13_P0000_R1,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S13_P0000_R1 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S13_P0000_R2,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S13_P0000_R2 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S13_P0000_R3,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S13_P0000_R3 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S13_P0000_R4,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S13_P0000_R4 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S13_P0000_R5,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S13_P0000_R5 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S13_P0000_R6,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S13_P0000_R6 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S13_P0000_R7,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S13_P0000_R7 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S13_P0000_R8,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S13_P0000_R8 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S13_P0000_R9,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S13_P0000_R9 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S14_P0000_R1,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S14_P0000_R1 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S14_P0000_R2,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S14_P0000_R2 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S14_P0000_R3,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S14_P0000_R3 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S14_P0000_R4,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S14_P0000_R4 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S14_P0000_R5,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S14_P0000_R5 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S14_P0000_R6,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S14_P0000_R6 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S14_P0000_R7,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S14_P0000_R7 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S14_P0000_R8,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S14_P0000_R8 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S14_P0000_R9,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S14_P0000_R9 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S2.1_P1212_R1,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S2.1_P1212_R1 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S2.1_P1212_R2,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S2.1_P1212_R2 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S2.1_P1212_R3,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S2.1_P1212_R3 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S2.1_P2121_R1,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S2.1_P2121_R1 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S2.1_P2121_R2,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S2.1_P2121_R2 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S2.1_P2121_R3,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S2.1_P2121_R3 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S2.2_P1212_R1,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S2.2_P1212_R1 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S2.2_P1212_R2,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S2.2_P1212_R2 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S2.2_P1212_R3,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S2.2_P1212_R3 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S2.2_P2121_R1,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S2.2_P2121_R1 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S2.2_P2121_R2,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S2.2_P2121_R2 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S2.2_P2121_R3,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S2.2_P2121_R3 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S3_P1231_R1,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S3_P1231_R1 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S3_P1231_R2,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S3_P1231_R2 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S3_P1231_R3,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S3_P1231_R3 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S3_P2312_R1,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S3_P2312_R1 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S3_P2312_R2,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S3_P2312_R2 is already in a fallow state. You cannot terminate a fallow state
KINNABULLA_S3_P2312_R3,checkPlotState,<class 'ValueError'>,Plot KINNABULLA_S3_P2312_R3 is already in a fallow state. You cannot terminate a fallow state
