plotID,errorLocation,errorType,errorMsg
ROSEWORTHY_S2_P2121_R1,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S2_P2121_R1 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S3_P2121_R1,(),value_error,"Value error, Please check your crop names. vetch(brownmanure) is not included in the allowed crops"
ROSEWORTHY_S3_P2121_R1,checkPlotState,<class 'ValueError'>,"Check plot ROSEWORTHY_S3_P2121_R1. Terminated crops must match planted crops
 Cropvetch (brown manure)not in planted set"
ROSEWORTHY_S3_P1212_R1,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S3_P1212_R1 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S4_P3123_R1,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S4_P3123_R1 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S4_P1231_R1,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S4_P1231_R1 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S4_P2312_R1,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S4_P2312_R1 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S5_P0000_R1,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S5_P0000_R1 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S6_P0000_R1,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S6_P0000_R1 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S7_P0000_R1,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S7_P0000_R1 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S1.1_P3123_R2,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S1.1_P3123_R2 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S1.1_P2312_R2,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S1.1_P2312_R2 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S1.1_P1231_R2,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S1.1_P1231_R2 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S1.2_P2312_R2,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S1.2_P2312_R2 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S1.2_P1231_R2,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S1.2_P1231_R2 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S1.2_P3123_R2,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S1.2_P3123_R2 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S2_P2121_R2,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S2_P2121_R2 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S2_P1212_R2,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S2_P1212_R2 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S3_P1212_R2,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S3_P1212_R2 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S3_P2121_R2,(),value_error,"Value error, Please check your crop names. vetch(brownmanure) is not included in the allowed crops"
ROSEWORTHY_S3_P2121_R2,checkPlotState,<class 'ValueError'>,"Check plot ROSEWORTHY_S3_P2121_R2. Terminated crops must match planted crops
 Cropvetch (brown manure)not in planted set"
ROSEWORTHY_S4_P3123_R2,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S4_P3123_R2 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S4_P2312_R2,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S4_P2312_R2 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S4_P1231_R2,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S4_P1231_R2 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S5_P0000_R2,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S5_P0000_R2 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S6_P0000_R2,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S6_P0000_R2 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S7_P0000_R2,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S7_P0000_R2 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S1.1_P1231_R3,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S1.1_P1231_R3 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S1.1_P3123_R3,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S1.1_P3123_R3 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S1.1_P2312_R3,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S1.1_P2312_R3 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S1.2_P3123_R3,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S1.2_P3123_R3 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S1.2_P1221_R3,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forROSEWORTHY_S1.2_P1221_R3. Please ensure a starting state is initiated for ALL plots prior to data entry
ROSEWORTHY_S1.2_P2312_R3,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S1.2_P2312_R3 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S2_P1212_R3,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S2_P1212_R3 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S2_P2121_R3,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S2_P2121_R3 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S3_P1212_R3,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S3_P1212_R3 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S3_P2121_R3,(),value_error,"Value error, Please check your crop names. vetch(brownmanure) is not included in the allowed crops"
ROSEWORTHY_S3_P2121_R3,checkPlotState,<class 'ValueError'>,"Check plot ROSEWORTHY_S3_P2121_R3. Terminated crops must match planted crops
 Cropvetch (brown manure)not in planted set"
ROSEWORTHY_S4_P2312_R3,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S4_P2312_R3 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S4_P1231_R3,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S4_P1231_R3 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S4_P3123_R3,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S4_P3123_R3 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S5_P0000_R3,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S5_P0000_R3 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S6_P0000_R3,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S6_P0000_R3 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S7_P0000_R3,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S7_P0000_R3 is already in a fallow state. You cannot terminate a fallow state
