,site,plot,year,crop_sequence,operational_costs_dollars,material_input_costs_dollars,crop_1_name,crop_2_name,crop_3_name,crop_1_yield,crop_2_yield,crop_3_yield,plot_revenue_dollars,plot_gross_margin_dollars
0,roseworthy,ROSEWORTHY_S2_P2121_R3,2023,1,279.0,592.1894,durum,NA,NA,2519.0,NA,NA,1201.563,330.3736000000001
1,roseworthy,ROSEWORTHY_S2_P2121_R3,2024,2,193.5,478.53000000000003,Lentil,NA,NA,908.0072558,NA,NA,698.2575797102,26.22757971020002
2,roseworthy,ROSEWORTHY_S2_P2121_R3,2025,3,210.5,806.7444,Durum,NA,NA,2097.38,0.0,NA,1000.45026,-16.794140000000084
3,roseworthy,ROSEWORTHY_S3_P1212_R2,2023,1,259.5,576.9044,vetch,NA,NA,5710.0,NA,NA,0.0,-836.4044
4,roseworthy,ROSEWORTHY_S3_P1212_R2,2024,2,193.5,249.936,Wheat,NA,NA,2112.562229,NA,NA,760.5224024400001,317.08640244000003
5,roseworthy,ROSEWORTHY_S3_P1212_R2,2025,3,193.5,198.8194,Vetch,NA,NA,0.0,0.0,NA,0.0,-392.3194
6,roseworthy,ROSEWORTHY_S6_P0000_R2,2023,1,279.0,592.1894,wheat,NA,NA,5306.0,NA,NA,1910.16,1038.9706
7,roseworthy,ROSEWORTHY_S6_P0000_R2,2024,2,202.0,258.456,Barley,NA,NA,10.81680468,NA,NA,3.366189616416,-457.089810383584
8,roseworthy,ROSEWORTHY_S6_P0000_R2,2025,3,193.5,376.7944,Lentil,NA,NA,1508.97,0.0,NA,1160.39793,590.1035300000001
9,roseworthy,ROSEWORTHY_S1.2_P3123_R2,2023,1,268.0,592.1894,barley,NA,NA,5141.0,NA,NA,1599.8792,739.6898000000001
10,roseworthy,ROSEWORTHY_S1.2_P3123_R2,2024,2,182.5,478.53,Lentil,NA,NA,998.2770728,NA,NA,767.6750689832,106.64506898320008
11,roseworthy,ROSEWORTHY_S1.2_P3123_R2,2025,3,210.5,809.8944,Wheat,NA,NA,4176.03,0.0,NA,1503.3708,482.9763999999999
12,roseworthy,ROSEWORTHY_S8_P0212_R3,2024,1,180.0,231.98,Canola,NA,NA,604.6134156,NA,NA,417.183256764,5.203256764000031
13,roseworthy,ROSEWORTHY_S8_P0212_R3,2025,2,171.5,119.8944,Lentil,NA,NA,1731.6,0.0,NA,1331.6004,1040.2060000000001
14,roseworthy,ROSEWORTHY_S4_P3123_R1,2023,1,365.2,558.6094,barley,fababean,NA,3668.0,560.0,NA,1407.4815999999998,483.67219999999975
15,roseworthy,ROSEWORTHY_S4_P3123_R1,2024,2,213.257062345,267.18,Canola,Field Pea,NA,954.4021304,275.8803634,NA,784.8906764132,304.4536140682
16,roseworthy,ROSEWORTHY_S4_P3123_R1,2025,3,302.6375,398.21639999999996,Wheat,Lentil,NA,4364.61,0.89,NA,1571.94401,871.0901099999999
17,roseworthy,ROSEWORTHY_S1.2_P3123_R3,2023,1,279.0,592.1894,barley,NA,NA,5250.0,NA,NA,1633.8,762.6106
18,roseworthy,ROSEWORTHY_S1.2_P3123_R3,2024,2,182.5,478.53,Lentil,NA,NA,738.1863584,NA,NA,567.6653096096001,-93.36469039039991
19,roseworthy,ROSEWORTHY_S1.2_P3123_R3,2025,3,210.5,809.8944,Wheat,NA,NA,3932.58,0.0,NA,1415.7288,395.3344000000001
20,roseworthy,ROSEWORTHY_S1.1_P2312_R1,2023,1,279.0,592.1894,wheat,NA,NA,5023.0,NA,NA,1808.28,937.0906
21,roseworthy,ROSEWORTHY_S1.1_P2312_R1,2024,2,202.0,299.93600000000004,Barley,NA,NA,906.0226177,NA,NA,281.95423862824,-219.98176137176006
22,roseworthy,ROSEWORTHY_S1.1_P2312_R1,2025,3,193.5,376.7944,Lentil,NA,NA,1855.29,0.0,NA,1426.71801,856.42361
23,roseworthy,ROSEWORTHY_S8_P0121_R2,2024,1,182.5,394.53,Lentil,NA,NA,781.0964306,NA,NA,600.6631551314,23.63315513140003
24,roseworthy,ROSEWORTHY_S8_P0121_R2,2025,2,199.5,397.84439999999995,Canola,NA,NA,1099.07,0.0,NA,758.3582999999999,161.01389999999992
25,roseworthy,ROSEWORTHY_S3_P2121_R2,2023,1,268.0,592.1894,durum,NA,NA,4139.0,NA,NA,1974.303,1114.1136000000001
26,roseworthy,ROSEWORTHY_S3_P2121_R2,2024,2,182.5,298.45500000000004,Vetch,NA,NA,0.0,NA,NA,0.0,-480.95500000000004
27,roseworthy,ROSEWORTHY_S3_P2121_R2,2025,3,210.5,776.0944000000001,Durum,NA,NA,2902.62,0.0,NA,1384.54974,397.95533999999986
28,roseworthy,ROSEWORTHY_S1.1_P1231_R3,2023,1,281.5,786.8794,lentil,NA,NA,1799.0,NA,NA,1383.431,315.0516
29,roseworthy,ROSEWORTHY_S1.1_P1231_R3,2024,2,202.0,299.93600000000004,Wheat,NA,NA,1991.272616,NA,NA,716.85814176,214.92214175999993
30,roseworthy,ROSEWORTHY_S1.1_P1231_R3,2025,3,210.5,810.2444,Barley,NA,NA,4063.67,0.0,NA,1264.614104,243.86970399999996
31,roseworthy,ROSEWORTHY_S4_P1231_R2,2023,1,339.85,579.2794,canola,fieldpea,NA,578.0,1756.0,NA,1203.068,283.93859999999995
32,roseworthy,ROSEWORTHY_S4_P1231_R2,2024,2,214.08516899724998,439.23,Wheat,Lentil,NA,1681.372549,22.03421089,NA,622.23842581441,-31.076743182840005
