,site,plot,year,crop_sequence,operational_costs_dollars,material_input_costs_dollars,crop_1_name,crop_2_name,crop_3_name,crop_1_yield,crop_2_yield,crop_3_yield,plot_revenue_dollars,plot_gross_margin_dollars
0,streatham,STREATHAM_S1.2_P1212_R3,2023,1,307.0,1275.4,canola,NA,NA,3797.0,NA,NA,2361.734,779.3339999999998
1,streatham,STREATHAM_S1.2_P1212_R3,2024,2,240.0,861.0076,Wheat,NA,NA,2595.766129,0.0,NA,856.6028225700001,-244.40477742999997
2,streatham,STREATHAM_S6.2_P1231_R1,2023,1,226.5,961.9,balansa clover,balansa clover,chicory ,0.0,NA,NA,0.0,-1188.4
3,streatham,STREATHAM_S6.2_P1231_R1,2024,2,226.5,958.3714365942029,Canola,NA,NA,2093.15376,0.0,NA,1301.94163872,117.07020212579698
4,streatham,STREATHAM_S4_P1231_R3,2023,1,248.5,994.926,wheat,vetch ,NA,0.0,0.0,NA,0.0,-1243.426
5,streatham,STREATHAM_S4_P1231_R3,2024,2,215.5,805.4104510869565,Canola,NA,NA,2858.982975,0.0,NA,1778.28741045,757.3769593630434
6,streatham,STREATHAM_S13_P0000_R8,2023,1,226.5,961.9,Perennial ryegrass,sub clover,NA,0.0,NA,NA,0.0,-1188.4
7,streatham,STREATHAM_S13_P0000_R7,2023,1,226.5,961.9,Perennial ryegrass,sub clover,NA,0.0,NA,NA,0.0,-1188.4
8,streatham,STREATHAM_S5_P3123_R2,2023,1,285.0,1354.4699999999998,barley,NA,NA,6178.0,NA,NA,1841.044,201.5740000000003
9,streatham,STREATHAM_S5_P3123_R2,2024,2,215.5,810.9646539855073,Canola,NA,NA,2786.195286,0.0,NA,1733.013467892,706.5488139064928
10,streatham,STREATHAM_S2.3_P2341_R3,2023,1,279.0,1185.3999999999999,canola,NA,NA,3843.0,NA,NA,2390.346,925.9460000000001
11,streatham,STREATHAM_S2.3_P2341_R3,2024,2,248.5,1078.3927757246377,Wheat,NA,NA,2954.189068,0.0,NA,974.88239244,-352.01038328463767
12,streatham,STREATHAM_S2.3_P4123_R1,2023,1,296.0,1414.8675999999998,wheat,NA,NA,4569.0,NA,NA,1507.77,-203.09759999999983
13,streatham,STREATHAM_S2.3_P4123_R1,2024,2,273.0,932.066,Faba bean,NA,NA,2570.145903,0.0,NA,1387.87878762,182.81278761999988
14,streatham,STREATHAM_S2.3_P3412_R3,2023,1,296.0,1414.8675999999998,wheat,NA,NA,4920.0,NA,NA,1623.6,-87.2675999999999
15,streatham,STREATHAM_S2.3_P3412_R3,2024,2,259.5,1015.9049786231884,Wheat,NA,NA,3648.633513,0.0,NA,1204.04905929,-71.35591933318835
16,streatham,STREATHAM_S2.1_P4123_R1,2023,1,296.0,1352.3675999999998,wheat,NA,NA,5625.0,NA,NA,1856.25,207.8824000000002
17,streatham,STREATHAM_S2.1_P4123_R1,2024,2,240.0,836.633,Faba bean,NA,NA,0.0,0.0,NA,0.0,-1076.633
18,streatham,STREATHAM_S6.1_P1231_R3,2023,1,226.5,961.9,balansa clover,balansa clover,chicory ,0.0,NA,NA,0.0,-1188.4
19,streatham,STREATHAM_S6.1_P1231_R3,2024,2,226.5,925.4431177536233,Canola,NA,NA,2282.146057,0.0,NA,1419.494847454,267.55172970037665
20,streatham,STREATHAM_S12_P0000_R9,2023,1,296.0,1399.8675999999998,wheat,NA,NA,5272.0,NA,NA,1739.76,43.89240000000018
21,streatham,STREATHAM_S2.2_P2341_R3,2023,1,307.0,1275.4,canola,NA,NA,4347.0,NA,NA,2703.834,1121.4339999999997
22,streatham,STREATHAM_S2.2_P2341_R3,2024,2,259.5,1111.250761231884,Wheat,NA,NA,2760.976703,0.0,NA,911.12231199,-459.62844924188414
23,streatham,STREATHAM_S7_P2341_R3,2023,1,226.5,961.9,Perennial ryegrass,sub clover,NA,0.0,NA,NA,0.0,-1188.4
24,streatham,STREATHAM_S7_P2341_R3,2024,2,215.5,815.4328278985507,Canola,NA,NA,1766.913082,0.0,NA,1099.019937004,68.08710910544926
25,streatham,STREATHAM_S6.1_P2312_R3,2023,1,307.0,1275.4,canola,NA,NA,3940.0,NA,NA,2450.68,868.2799999999997
26,streatham,STREATHAM_S6.1_P2312_R3,2024,2,215.5,926.8369873188406,Wheat,NA,NA,2797.379032,0.0,NA,923.13508056,-219.20190675884055
27,streatham,STREATHAM_S5_P2312_R1,2023,1,296.0,1399.8675999999998,wheat,NA,NA,5159.0,NA,NA,1702.47,6.602400000000216
28,streatham,STREATHAM_S5_P2312_R1,2024,2,237.5,911.807277173913,Barley,NA,NA,3049.943883,0.0,NA,908.883277134,-240.42400003991304
29,streatham,STREATHAM_S11_P0000_R8,2023,1,292.5,1225.4225,wheat,barley,faba bean,4686.0,0.0,0.0,1546.92,28.997500000000173
30,streatham,STREATHAM_S5_P3123_R3,2023,1,285.0,1354.4699999999998,barley,NA,NA,5779.0,NA,NA,1722.1419999999998,82.67200000000003
31,streatham,STREATHAM_S5_P3123_R3,2024,2,215.5,810.9646539855073,Canola,NA,NA,3147.401434,0.0,NA,1957.683691948,931.2190379624926
32,streatham,STREATHAM_S2.3_P4123_R2,2023,1,296.0,1414.8675999999998,wheat,NA,NA,4965.0,NA,NA,1638.45,-72.41759999999977
33,streatham,STREATHAM_S2.3_P4123_R2,2024,2,273.0,932.0660000000001,Faba bean,NA,NA,2839.506173,0.0,NA,1533.33333342,328.2673334199998
34,streatham,STREATHAM_S3_P2341_R3,2023,1,296.0,1399.8675999999998,wheat,NA,NA,5905.0,NA,NA,1948.65,252.78240000000028
35,streatham,STREATHAM_S3_P2341_R3,2024,2,215.5,798.0360163043479,Canola,NA,NA,3130.600358,0.0,NA,1947.233422676,933.697406371652
36,streatham,STREATHAM_S4_P2312_R1,2023,1,307.0,1275.4,canola,NA,NA,4239.0,NA,NA,2636.658,1054.2579999999998
