plotID,errorLocation,errorType,errorMsg
MANANG_S2_P2121_R2,checkPlotState,<class 'ValueError'>,"Check plot MANANG_S2_P2121_R2. Terminated crops must match planted crops
 Croplentilnot in planted set"
MANANG_S2_P1212_R3,checkPlotState,<class 'ValueError'>,"Check plot MANANG_S2_P1212_R3. Terminated crops must match planted crops
 Cropwheatnot in planted set"
MANANG_S2_P2121_R3,checkPlotState,<class 'ValueError'>,"Check plot MANANG_S2_P2121_R3. Terminated crops must match planted crops
 Croplentilnot in planted set"
MANANG_S3_P2312_R1,checkPlotState,<class 'ValueError'>,"Check plot MANANG_S3_P2312_R1. Terminated crops must match planted crops
 Cropwheatnot in planted set"
MANANG_S3_P3123_R1,checkPlotState,<class 'ValueError'>,"Check plot MANANG_S3_P3123_R1. Terminated crops must match planted crops
 Croplentilnot in planted set"
MANANG_S3_P2312_R2,checkPlotState,<class 'ValueError'>,"Check plot MANANG_S3_P2312_R2. Terminated crops must match planted crops
 Cropwheatnot in planted set"
MANANG_S3_P3123_R2,checkPlotState,<class 'ValueError'>,"Check plot MANANG_S3_P3123_R2. Terminated crops must match planted crops
 Croplentilnot in planted set"
MANANG_S3_P2312_R3,checkPlotState,<class 'ValueError'>,"Check plot MANANG_S3_P2312_R3. Terminated crops must match planted crops
 Cropwheatnot in planted set"
MANANG_S3_P3123_R3,checkPlotState,<class 'ValueError'>,"Check plot MANANG_S3_P3123_R3. Terminated crops must match planted crops
 Croplentilnot in planted set"
MANANG_S4_P1234_R1,checkPlotState,<class 'ValueError'>,"Check plot MANANG_S4_P1234_R1. Terminated crops must match planted crops
 Cropcanolanot in planted set"
MANANG_S4_P2341_R1,checkPlotState,<class 'ValueError'>,"Check plot MANANG_S4_P2341_R1. Terminated crops must match planted crops
 Cropwheatnot in planted set"
MANANG_S4_P4123_R1,checkPlotState,<class 'ValueError'>,"Check plot MANANG_S4_P4123_R1. Terminated crops must match planted crops
 Croplentilnot in planted set"
MANANG_S4_P1234_R2,checkPlotState,<class 'ValueError'>,"Check plot MANANG_S4_P1234_R2. Terminated crops must match planted crops
 Cropcanolanot in planted set"
MANANG_S4_P2341_R2,checkPlotState,<class 'ValueError'>,"Check plot MANANG_S4_P2341_R2. Terminated crops must match planted crops
 Cropwheatnot in planted set"
MANANG_S4_P4123_R2,checkPlotState,<class 'ValueError'>,"Check plot MANANG_S4_P4123_R2. Terminated crops must match planted crops
 Croplentilnot in planted set"
MANANG_S4_P1234_R3,checkPlotState,<class 'ValueError'>,"Check plot MANANG_S4_P1234_R3. Terminated crops must match planted crops
 Cropcanolanot in planted set"
MANANG_S4_P2341_R3,checkPlotState,<class 'ValueError'>,"Check plot MANANG_S4_P2341_R3. Terminated crops must match planted crops
 Cropwheatnot in planted set"
MANANG_S4_P4123_R3,checkPlotState,<class 'ValueError'>,"Check plot MANANG_S4_P4123_R3. Terminated crops must match planted crops
 Croplentilnot in planted set"
MANANG_S5_P1234_R1,checkPlotState,<class 'ValueError'>,"Check plot MANANG_S5_P1234_R1. Terminated crops must match planted crops
 Cropwheatnot in planted set"
