plotID,year,month,day,crop1Name,crop2Name,crop3Name,harvestOutcome,harvestReason,crop1Yield,crop2Yield,crop3Yield,terminationState,comments
MANANG_S4_P1234_R1,2023,12,5,lentil,NA,NA,success,sale,672,NA,NA,stubble,
MANANG_S4_P1234_R2,2023,12,5,lentil,NA,NA,success,sale,1079,NA,NA,stubble,
MANANG_S4_P1234_R3,2023,12,5,lentil,NA,NA,success,sale,884,NA,NA,stubble,
MANANG_S4_P2341_R1,2023,12,4,canola,NA,NA,success,sale,1248,NA,NA,stubble,
MANANG_S4_P2341_R2,2023,12,4,canola,NA,NA,success,sale,1344,NA,NA,stubble,
MANANG_S4_P2341_R3,2023,12,4,canola,NA,NA,success,sale,1338,NA,NA,stubble,
MANANG_S4_P3412_R1,2023,12,5,wheat,NA,NA,success,sale,3138,NA,NA,stubble,
MANANG_S4_P3412_R2,2023,12,5,wheat,NA,NA,success,sale,3129,NA,NA,stubble,
MANANG_S4_P3412_R3,2023,12,5,wheat,NA,NA,success,sale,2473,NA,NA,stubble,
MANANG_S4_P4123_R1,2023,12,5,wheat,NA,NA,success,sale,3129,NA,NA,stubble,
MANANG_S4_P4123_R2,2023,12,5,wheat,NA,NA,success,sale,2856,NA,NA,stubble,
MANANG_S4_P4123_R3,2023,12,5,wheat,NA,NA,success,sale,2910,NA,NA,stubble,
MANANG_S5_P1234_R1,2023,12,5,lentil,NA,NA,success,sale,907,NA,NA,stubble,
MANANG_S5_P1234_R2,2023,12,5,lentil,NA,NA,success,sale,1081,NA,NA,stubble,
MANANG_S5_P1234_R3,2023,12,5,lentil,NA,NA,success,sale,948,NA,NA,stubble,
MANANG_S5_P2341_R1,2023,12,5,wheat,NA,NA,success,sale,3121,NA,NA,stubble,
MANANG_S5_P2341_R2,2023,12,5,wheat,NA,NA,success,sale,3197,NA,NA,stubble,
MANANG_S5_P2341_R3,2023,12,5,wheat,NA,NA,success,sale,3540,NA,NA,stubble,
MANANG_S5_P3412_R1,2023,12,5,wheat,NA,NA,success,sale,2528,NA,NA,stubble,
MANANG_S5_P3412_R2,2023,12,5,wheat,NA,NA,success,sale,2714,NA,NA,stubble,
MANANG_S5_P3412_R3,2023,12,5,wheat,NA,NA,success,sale,3475,NA,NA,stubble,
