,site,plot,year,crop_sequence,operational_costs_dollars,material_input_costs_dollars,crop_1_name,crop_2_name,crop_3_name,crop_1_yield,crop_2_yield,crop_3_yield,plot_revenue_dollars,plot_gross_margin_dollars
0,manang,MANANG_S12_P0000_R2,2023,1,171.5,437.59999999999997,canola,NA,NA,1391.0,NA,NA,959.79,350.69
1,manang,MANANG_S12_P0000_R2,2024,2,213.0,290.51919999999996,Wheat,NA,NA,1668.66,NA,NA,600.7176000000001,97.1984000000001
2,manang,MANANG_S12_P0000_R2,2025,3,193.5,256.5854,Barley,NA,NA,4090.68,NA,NA,1273.0196159999998,822.9342159999999
3,manang,MANANG_S4_P2341_R2,2023,1,191.0,476.0,canola,NA,NA,1344.0,NA,NA,927.36,260.36
4,manang,MANANG_S4_P2341_R2,2024,2,213.0,352.5192,Wheat,NA,NA,1905.59,NA,NA,686.0124,120.49319999999994
5,manang,MANANG_S4_P2341_R2,2025,3,202.0,283.2354,Wheat,NA,NA,4253.88,NA,NA,1531.3968,1046.1614
6,manang,MANANG_S6_P1111_R6,2023,1,180.0,447.91999999999996,wheat,NA,NA,2927.0,NA,NA,1053.72,425.80000000000007
7,manang,MANANG_S6_P1111_R6,2024,2,221.5,356.0192,Wheat,NA,NA,2272.84,NA,NA,818.2224,240.70319999999998
8,manang,MANANG_S6_P1111_R6,2025,3,202.0,301.23539999999997,Wheat,NA,NA,4296.47,NA,NA,1546.7292,1043.4938
9,manang,MANANG_S7_P3123_R1,2023,1,180.0,447.91999999999996,wheat,NA,NA,3405.0,NA,NA,1225.8,597.88
10,manang,MANANG_S7_P3123_R1,2025,2,246.0,409.4926,Wheat,NA,NA,4450.25,NA,NA,1602.09,946.5973999999999
11,manang,MANANG_S9_P1231_R2,2023,1,215.5,550.0000000000001,vetch,NA,NA,0.0,NA,NA,0.0,-765.5000000000001
12,manang,MANANG_S9_P1231_R2,2024,2,213.0,336.5192,Wheat,NA,NA,2286.82,NA,NA,823.2552000000001,273.73600000000005
13,manang,MANANG_S9_P1231_R2,2025,3,213.0,371.11539999999997,Oats,NA,NA,7053.33,NA,NA,1777.43916,1193.32376
14,manang,MANANG_S5_P1234_R2,2023,1,204.5,514.9472000000001,lentil,NA,NA,1081.0,NA,NA,831.289,111.84179999999992
15,manang,MANANG_S5_P1234_R2,2024,2,221.5,346.5192,Wheat,NA,NA,2138.58,NA,NA,769.8888,201.86959999999993
16,manang,MANANG_S5_P1234_R2,2025,3,202.0,285.2354,Wheat,NA,NA,3804.58,NA,NA,1369.6488,882.4133999999999
17,manang,MANANG_S13_P0000_R8,2023,1,193.5,538.6,canola,NA,NA,1441.0,NA,NA,994.29,262.18999999999994
18,manang,MANANG_S13_P0000_R8,2024,2,213.0,289.01919999999996,Wheat,NA,NA,2275.81,NA,NA,819.2915999999999,317.27239999999995
19,manang,MANANG_S13_P0000_R8,2025,3,193.5,237.0854,Barley,NA,NA,4336.24,NA,NA,1349.437888,918.852488
20,manang,MANANG_S8.1_P3123_R1,2023,1,202.0,447.91999999999996,wheat,NA,NA,3247.0,NA,NA,1168.9199999999998,518.9999999999999
21,manang,MANANG_S8.1_P3123_R1,2024,2,204.5,257.45219999999995,Vetch,NA,NA,0.0,NA,NA,0.0,-461.95219999999995
22,manang,MANANG_S8.1_P3123_R1,2025,3,202.0,285.2354,Wheat,NA,NA,4035.47,NA,NA,1452.7692,965.5337999999999
23,manang,MANANG_S5_P2341_R1,2023,1,191.0,447.91999999999996,wheat,NA,NA,3121.0,NA,NA,1123.56,484.64
24,manang,MANANG_S5_P2341_R1,2024,2,221.5,364.01920000000007,Wheat,NA,NA,1098.06,NA,NA,395.3016,-190.21760000000006
25,manang,MANANG_S5_P2341_R1,2025,3,202.0,296.23539999999997,Wheat,NA,NA,3817.83,NA,NA,1374.4188,876.1833999999999
26,manang,MANANG_S7_P1231_R3,2024,1,287.5,674.9692000000001,Wheat,NA,NA,2564.15,NA,NA,923.094,-39.37520000000006
27,manang,MANANG_S7_P1231_R3,2025,2,202.0,295.73539999999997,Wheat,NA,NA,4025.43,NA,NA,1449.1547999999998,951.4193999999998
28,manang,MANANG_S1.3_P2312_R3,2023,1,191.0,492.91999999999996,wheat,NA,NA,3274.0,NA,NA,1178.64,494.72000000000014
29,manang,MANANG_S1.3_P2312_R3,2024,2,213.0,409.0192,Wheat,NA,NA,1870.06,NA,NA,673.2216,51.202399999999955
30,manang,MANANG_S1.3_P2312_R3,2025,3,193.5,238.47390000000001,Lentil,NA,NA,1786.85,NA,NA,1374.08765,942.11375
31,manang,MANANG_S1.1_P1231_R2,2023,1,204.5,514.9472000000001,lentil,NA,NA,720.0,NA,NA,553.6800000000001,-165.7672
32,manang,MANANG_S1.1_P1231_R2,2024,2,213.0,329.5192,Wheat,NA,NA,2317.0,NA,NA,834.12,291.6008
33,manang,MANANG_S1.1_P1231_R2,2025,3,202.0,331.73539999999997,Wheat,NA,NA,3842.05,NA,NA,1383.138,849.4025999999999
34,manang,MANANG_S4_P4123_R3,2023,1,202.0,447.91999999999996,wheat,NA,NA,2910.0,NA,NA,1047.6,397.67999999999995
35,manang,MANANG_S4_P4123_R3,2024,2,193.5,222.4517,Lentil,NA,NA,422.21,NA,NA,324.67949,-91.27221
36,manang,MANANG_S4_P4123_R3,2025,3,213.0,376.6544,Canola,NA,NA,2610.01,NA,NA,1800.9069,1211.2525
37,manang,MANANG_S11_P1212_R2,2023,1,286.65,462.0972,wheat,vetch,NA,3386.0,0.0,NA,0.0,-748.7472
38,manang,MANANG_S11_P1212_R2,2024,2,221.5,341.0192,Wheat,NA,NA,2228.39,NA,NA,802.2203999999999,239.70119999999991
39,manang,MANANG_S11_P1212_R2,2025,3,322.76324999999997,507.99440000000004,Wheat,Vetch,NA,4050.53,NA,NA,1458.1908,627.4331500000001
40,manang,MANANG_S10.1_P3123_R2,2023,1,193.5,423.41999999999996,wheat,NA,NA,3451.0,NA,NA,1242.36,625.4399999999999
