,site,plot,year,crop_sequence,operational_costs_dollars,material_input_costs_dollars,crop_1_name,crop_2_name,crop_3_name,crop_1_yield,crop_2_yield,crop_3_yield,plot_revenue_dollars,plot_gross_margin_dollars
0,manang,MANANG_S12_P0000_R2,2023,1,171.5,412.09999999999997,canola,NA,NA,1391.0,NA,NA,865.202,281.60200000000003
1,manang,MANANG_S4_P2341_R2,2023,1,191.0,450.5,canola,NA,NA,1344.0,NA,NA,835.968,194.46799999999996
2,manang,MANANG_S6_P1111_R6,2023,1,202.0,434.32,wheat,NA,NA,2927.0,NA,NA,965.91,329.59
3,manang,MANANG_S7_P3123_R1,2023,1,202.0,434.32,wheat,NA,NA,3405.0,NA,NA,1123.65,487.3300000000001
4,manang,MANANG_S9_P1231_R2,2023,1,226.5,524.4999999999999,vetch,NA,NA,0.0,NA,NA,0.0,-750.9999999999999
5,manang,MANANG_S5_P1234_R2,2023,1,215.5,501.3472,lentil,NA,NA,1081.0,NA,NA,702.65,-14.19720000000001
6,manang,MANANG_S13_P0000_R8,2023,1,182.5,513.0999999999999,canola,NA,NA,1441.0,NA,NA,896.302,200.7020000000001
7,manang,MANANG_S8.1_P3123_R1,2023,1,191.0,434.32,wheat,NA,NA,3247.0,NA,NA,1071.51,446.19
8,manang,MANANG_S5_P2341_R1,2023,1,202.0,434.32,wheat,NA,NA,3121.0,NA,NA,1029.93,393.61000000000007
9,manang,MANANG_S7_P1231_R3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,manang,MANANG_S1.3_P2312_R3,2023,1,191.0,479.32,wheat,NA,NA,3274.0,NA,NA,1080.42,410.1000000000001
11,manang,MANANG_S1.1_P1231_R2,2023,1,215.5,501.3472,lentil,NA,NA,720.0,NA,NA,468.0,-248.8472
12,manang,MANANG_S4_P4123_R3,2023,1,202.0,434.32,wheat,NA,NA,2910.0,NA,NA,960.3,323.97999999999996
13,manang,MANANG_S11_P1212_R2,2023,1,224.0,448.4972,wheat,vetch,NA,3386.0,0.0,NA,0.0,-672.4972
14,manang,MANANG_S2_P1212_R2,2023,1,215.5,501.3472,lentil,NA,NA,1145.0,NA,NA,744.25,27.402800000000013
15,manang,MANANG_S10.1_P3123_R2,2023,1,193.5,409.82,wheat,NA,NA,3451.0,NA,NA,1138.8300000000002,535.5100000000002
16,manang,MANANG_S11_P1212_R1,2023,1,213.0,448.4972,wheat,vetch,NA,2935.0,0.0,NA,0.0,-661.4972
17,manang,MANANG_S8.2_P3123_R2,2023,1,202.0,434.32,wheat,NA,NA,3548.0,NA,NA,1170.84,534.52
18,manang,MANANG_S1.1_P1231_R3,2023,1,226.5,501.3472,lentil,NA,NA,1014.0,NA,NA,659.1,-68.74719999999996
19,manang,MANANG_S4_P3412_R1,2023,1,202.0,434.32,wheat,NA,NA,3138.0,NA,NA,1035.54,399.21999999999997
20,manang,MANANG_S8.1_P2312_R2,2023,1,191.0,434.32,wheat,NA,NA,3156.0,NA,NA,1041.48,416.16
21,manang,MANANG_S2_P2121_R2,2023,1,202.0,434.32,wheat,NA,NA,3007.0,NA,NA,992.31,355.98999999999995
22,manang,MANANG_S4_P1234_R2,2023,1,215.5,501.3472,lentil,NA,NA,1079.0,NA,NA,701.35,-15.497199999999964
23,manang,MANANG_S10.2_P2312_R1,2023,1,191.0,434.32,wheat,NA,NA,3656.0,NA,NA,1206.48,581.1600000000001
24,manang,MANANG_S8.2_P1231_R3,2023,1,204.5,524.4999999999999,vetch,NA,NA,0.0,NA,NA,0.0,-728.9999999999999
25,manang,MANANG_S5_P4123_R2,2023,1,191.0,434.32,wheat,NA,NA,2353.0,NA,NA,776.49,151.17000000000002
26,manang,MANANG_S13_P0000_R9,2023,1,171.5,513.0999999999999,canola,NA,NA,1289.0,NA,NA,801.758,117.15800000000013
27,manang,MANANG_S13_P0000_R2,2023,1,182.5,513.0999999999999,canola,NA,NA,1177.0,NA,NA,732.094,36.49400000000014
28,manang,MANANG_S13_P0000_R6,2023,1,193.5,513.1,canola,NA,NA,1202.0,NA,NA,747.644,41.04399999999998
29,manang,MANANG_S1.3_P1231_R1,2023,1,215.5,518.5972,lentil,NA,NA,1090.0,NA,NA,708.5,-25.597200000000043
30,manang,MANANG_S1.2_P1231_R1,2023,1,226.5,518.5972,lentil,NA,NA,767.0,NA,NA,498.55,-246.54720000000003
31,manang,MANANG_S7_P3123_R2,2023,1,202.0,434.32,wheat,NA,NA,2690.0,NA,NA,887.7,251.38000000000005
32,manang,MANANG_S1.2_P2312_R2,2023,1,202.0,434.32,wheat,NA,NA,3841.0,NA,NA,1267.53,631.21
33,manang,MANANG_S7_P2312_R2,2023,1,202.0,434.32,wheat,NA,NA,3181.0,NA,NA,1049.73,413.41
34,manang,MANANG_S3_P1231_R2,2023,1,215.5,501.3472,lentil,NA,NA,885.0,NA,NA,575.25,-141.5972
35,manang,MANANG_S10.2_P3123_R3,2023,1,191.0,434.32,wheat,NA,NA,2862.0,NA,NA,944.46,319.14000000000004
36,manang,MANANG_S3_P3123_R1,2023,1,202.0,434.32,wheat,NA,NA,2607.0,NA,NA,860.3100000000001,223.99000000000007
37,manang,MANANG_S7_P3123_R3,2023,1,191.0,434.32,wheat,NA,NA,3019.0,NA,NA,996.27,370.95
38,manang,MANANG_S12_P0000_R8,2023,1,182.5,412.09999999999997,canola,NA,NA,1145.0,NA,NA,712.1899999999999,117.58999999999997
39,manang,MANANG_S10.2_P3123_R2,2023,1,191.0,434.32,wheat,NA,NA,2758.0,NA,NA,910.14,284.82
40,manang,MANANG_S6_P1111_R1,2023,1,191.0,434.32,wheat,NA,NA,3445.0,NA,NA,1136.85,511.5299999999999
41,manang,MANANG_S9_P2312_R1,2023,1,202.0,434.32,wheat,NA,NA,2843.0,NA,NA,938.19,301.87000000000006
