,site,plot,year,crop_sequence,operational_costs_dollars,material_input_costs_dollars,plot_revenue_dollars,plot_gross_margin_dollars,,Zeros,NAS
66,manang,MANANG_S1.1_P2312_R3,2024,2,213,315.7692,660,131.2308,,0,0
67,manang,MANANG_S3_P1231_R1,2023,1,204.5,501.3472,577.2,-128.6472,,0,0
68,manang,MANANG_S3_P1231_R1,2024,2,193.5,189.3017,130,-252.8017,,0,0
69,manang,MANANG_S9_P1231_R3,2023,1,226.5,524.5,0,-751,,0,0
70,manang,MANANG_S9_P1231_R3,2024,2,221.5,362.7083543,792,207.7916458,,0,0
71,manang,MANANG_S3_P2312_R1,2023,1,193.5,501.3472,613.6,-81.2472,,0,0
72,manang,MANANG_S3_P2312_R1,2024,2,221.5,402.6359803,561,-63.1359803,,0,0
73,manang,MANANG_S8.2_P2312_R3,2023,1,202,434.32,768.9,132.58,,0,0
74,manang,MANANG_S8.2_P2312_R3,2024,2,230,364.0891762,858,263.9108238,,0,0
75,manang,MANANG_S6_P1111_R5,2023,1,191,434.32,843.48,218.16,,0,0
76,manang,MANANG_S9_P3123_R2,2023,1,224,517.72,0,-741.72,,0,0
77,manang,MANANG_S9_P3123_R2,2024,2,193.5,210.7522,0,-404.2522,,0,0
78,manang,MANANG_S4_P2341_R2,2023,1,202,450.5,835.968,183.468,,0,0
79,manang,MANANG_S4_P2341_R2,2024,2,221.5,376.4705177,627,29.02948235,,0,0
80,manang,MANANG_S1.2_P1231_R2,2023,1,204.5,501.3472,616.2,-89.6472,,0,0
81,manang,MANANG_S1.2_P1231_R2,2024,2,230,380.6001286,627,16.3998714,,0,0
82,manang,MANANG_S7_P3123_R2,2023,1,202,434.32,887.7,251.38,,0,0
83,manang,MANANG_S13_P0000_R8,2023,1,182.5,513.1,896.302,200.702,,0,0
84,manang,MANANG_S10.2_P1231_R1,2023,1,213,448.4972,0,-661.4972,,0,0
85,manang,MANANG_S10.2_P1231_R1,2024,2,221.5,375.0788044,198,-398.5788044,,0,0
86,manang,MANANG_S7_P3123_R3,2023,1,202,434.32,996.27,359.95,,0,0
87,manang,MANANG_S10.1_P1231_R1,2023,1,213,448.4972,0,-661.4972,,0,0
88,manang,MANANG_S10.1_P1231_R1,2024,2,230,393.2400664,462,-161.2400664,,0,0
89,manang,MANANG_S8.1_P3123_R1,2023,1,191,434.32,1071.51,446.19,,0,0
90,manang,MANANG_S8.1_P3123_R1,2024,2,204.5,215.8022,0,-420.3022,,0,0
91,manang,MANANG_S12_P0000_R5,2023,1,193.5,412.1,1021.324,415.724,,0,0
92,manang,MANANG_S12_P0000_R8,2023,1,171.5,412.1,712.19,128.59,,0,0
93,manang,MANANG_S13_P0000_R9,2023,1,182.5,513.1,801.758,106.158,,0,0
94,manang,MANANG_S13_P0000_R3,2023,1,182.5,513.1,720.276,24.676,,0,0
95,manang,MANANG_S13_P0000_R3,2024,2,221.5,311.9154218,715,181.5845783,,0,0
96,manang,MANANG_S8.1_P2312_R2,2023,1,191,434.32,1041.48,416.16,,0,0
97,manang,MANANG_S8.1_P2312_R2,2024,2,230,396.0979385,396,-230.0979385,,0,0
98,manang,MANANG_S13_P0000_R4,2023,1,193.5,513.1,918.072,211.472,,0,0
99,manang,MANANG_S7_P2312_R2,2023,1,213,434.32,1049.73,402.41,,0,0
100,manang,MANANG_S7_P2312_R2,2024,2,230,372.2434522,627,24.7565478,,0,0
101,manang,MANANG_S6_P1111_R2,2023,1,180,434.32,1199.88,585.56,,0,0
102,manang,MANANG_S6_P1111_R2,2024,2,230,416.0514828,643.5,-2.5514828,,0,0
