,site,plot,year,annual_plot_operational_costs_dollars,annual_plot_material_input_costs_dollars,annual_plot_revenue_dollars,annual_plot_gross_margin_dollars
61,hart,HART_S6_P1234_R1,2024,221.5,273.516,348.32,-146.69600000000003
62,hart,HART_S6_P1234_R1,2023,204.5,222.5193,928.2,501.18070000000006
63,hart,HART_S6_P3412_R1,2024,213.0,209.85777473,259.26,-163.59777473
64,hart,HART_S6_P3412_R1,2023,202.0,246.75834999999998,1185.69,736.9316500000001
65,hart,HART_S10.3_P1231_R2,2024,213.0,270.17947586,291.39,-191.78947586000004
66,hart,HART_S10.3_P1231_R2,2023,204.5,227.7693,842.056,409.78670000000005
67,hart,HART_S2.2_BUFFER_R2,2024,11.0,38.0,0.0,-49.0
68,hart,HART_S7_P2341_R2,2024,213.0,267.62819831499996,533.94,53.31180168500009
69,hart,HART_S7_P2341_R2,2023,204.5,209.9862,713.482,298.9958
70,hart,HART_S2.2_P0000_R1,2024,213.0,220.41727117500002,441.1592,7.741928824999974
71,hart,HART_S2.2_P0000_R1,2023,202.0,264.25834999999995,1190.64,724.3816500000001
72,hart,HART_S4.1_P2341_R3,2024,221.5,292.73371812500005,69.664,-444.56971812500007
73,hart,HART_S4.1_P2341_R3,2023,202.0,225.25835,1084.38,657.12165
74,hart,HART_S3_P2341_R1,2024,204.5,280.3244,470.6,-14.224400000000003
75,hart,HART_S3_P2341_R1,2023,202.0,246.75835,1028.61,579.8516499999998
76,hart,HART_S10.1_P2312_R1,2024,213.0,231.16680829999999,474.118,29.95119170000001
77,hart,HART_S10.1_P2312_R1,2023,193.5,190.25835,858.0,474.24165
78,hart,HART_S3_BUFFER_R2,2024,11.0,152.0,0.0,-163.0
79,hart,HART_S10.3_P2312_R2,2024,213.0,232.978155215,473.82,27.841844785000006
80,hart,HART_S10.3_P2312_R2,2023,202.0,246.75835,989.67,540.91165
81,hart,HART_S4.3_P1234_R2,2024,213.0,293.72250499999996,589.38,82.65749500000004
82,hart,HART_S4.3_P1234_R2,2023,204.5,222.5193,1151.15,724.1307000000002
83,hart,HART_S4.3_P4123_R2,2024,204.5,280.3244,516.1,31.275599999999997
84,hart,HART_S4.3_P4123_R2,2023,202.0,258.75835,1005.154,544.3956499999999
85,hart,HART_S1.3_P1231_R1,2024,213.0,281.052,74.91,-419.14200000000005
86,hart,HART_S1.3_P1231_R1,2023,204.5,222.5193,998.4,571.3806999999999
87,hart,HART_S9_BUFFER_R2,2024,11.0,152.0,0.0,-163.0
88,hart,HART_S4.3_P1234_R3,2024,213.0,293.72250499999996,786.0600000000001,279.3374950000001
89,hart,HART_S4.3_P1234_R3,2023,204.5,222.5193,1160.9,733.8807000000002
90,hart,HART_S2.1_BUFFER_R1,2024,11.0,38.0,0.0,-49.0
91,hart,HART_S8_P3412_R3,2024,213.0,294.61117314999996,444.84,-62.77117314999998
92,hart,HART_S8_P3412_R3,2023,202.0,235.75835,1186.636,748.8776499999999
93,hart,HART_S10.3_P3123_R3,2024,202.0,285.12695127999996,435.73,-51.39695127999994
94,hart,HART_S10.3_P3123_R3,2023,202.0,235.75835,974.46,536.70165
95,hart,HART_S10.1_P3123_R1,2024,193.5,241.295,363.124,-71.67099999999996
96,hart,HART_S10.1_P3123_R1,2023,193.5,190.25835,1326.696,942.9376499999998
97,hart,HART_S6_P3412_R3,2024,213.0,209.85777473,527.7579999999999,104.90022526999994
