,site,plot,year,crop_sequence,operational_costs_dollars,material_input_costs_dollars,plot_yield_kilograms_per_hectare,plot_main_crop,plot_revenue_dollars,plot_gross_margin_dollars
898,streatham,STREATHAM_S5_P2312_R2,2023,1,296.0,1399.8675999999998,TBD,TBD,1795.86,99.99240000000009
899,streatham,STREATHAM_S5_P2312_R2,2024,2,237.5,911.807277173913,TBD,TBD,1427.2895624199998,277.9822852460868
900,streatham,STREATHAM_S9.2_P2121_R2,2023,1,296.0,1399.8675999999998,TBD,TBD,1608.75,-87.11759999999981
901,streatham,STREATHAM_S9.2_P2121_R2,2024,2,215.5,725.0014067028986,TBD,TBD,1531.7306394992002,591.2292327963015
902,streatham,STREATHAM_S2.2_P2341_R1,2023,1,307.0,1275.4,TBD,TBD,2460.01,877.6100000000001
903,streatham,STREATHAM_S2.2_P2341_R1,2024,2,259.5,1111.250761231884,TBD,TBD,589.81481493,-780.9359463018841
904,streatham,STREATHAM_S9.3_P1212_R3,2023,1,276.5,1173.95,TBD,TBD,2935.218,1484.7679999999998
905,streatham,STREATHAM_S9.3_P1212_R3,2024,2,215.5,909.8117699275363,TBD,TBD,0.0,-1125.3117699275363
906,streatham,STREATHAM_S2.3_P4123_R2,2023,1,296.0,1414.8675999999998,TBD,TBD,1638.45,-72.41759999999977
907,streatham,STREATHAM_S2.3_P4123_R2,2024,2,273.0,932.0660000000001,TBD,TBD,1533.33333342,328.2673334199998
908,streatham,STREATHAM_S5_P2312_R3,2023,1,296.0,1399.8675999999998,TBD,TBD,1941.06,245.19240000000013
909,streatham,STREATHAM_S5_P2312_R3,2024,2,237.5,911.807277173913,TBD,TBD,1154.883512642,5.576235468086907
910,streatham,STREATHAM_S11_P0000_R3,2023,1,292.5,1225.4225,TBD,TBD,1525.8,7.877500000000055
911,streatham,STREATHAM_S5_P1231_R1,2023,1,307.0,1275.4,TBD,TBD,2868.664,1286.2640000000001
912,streatham,STREATHAM_S5_P1231_R1,2024,2,215.5,855.0121467391305,TBD,TBD,987.9629628,-82.54918393913044
913,streatham,STREATHAM_S5_P3123_R1,2023,1,285.0,1354.4699999999998,TBD,TBD,2050.538,411.0680000000002
914,streatham,STREATHAM_S5_P3123_R1,2024,2,215.5,810.9646539855073,TBD,TBD,1935.460156916,908.9955029304926
915,streatham,STREATHAM_S5_P2312_R1,2023,1,296.0,1399.8675999999998,TBD,TBD,1702.47,6.602400000000216
916,streatham,STREATHAM_S5_P2312_R1,2024,2,237.5,911.807277173913,TBD,TBD,908.883277134,-240.42400003991304
917,streatham,STREATHAM_S2.4_P2341_R2,2023,1,307.0,1315.4,TBD,TBD,2623.596,1001.1959999999999
918,streatham,STREATHAM_S2.4_P2341_R2,2024,2,259.5,1141.5338336956522,TBD,TBD,893.5185184200001,-507.51531527565214
919,streatham,STREATHAM_S9.3_P2121_R3,2023,1,296.0,1399.8675999999998,TBD,TBD,1958.22,262.3524000000002
920,streatham,STREATHAM_S9.3_P2121_R3,2024,2,215.5,767.4003496376812,TBD,TBD,1752.7744173974995,769.8740677598183
921,streatham,STREATHAM_S10_P2121_R1,2023,1,257.0,1090.88,TBD,TBD,948.09,-399.7900000000001
922,streatham,STREATHAM_S10_P2121_R1,2024,2,215.5,819.9151902173915,TBD,TBD,1168.1773287372,132.76213851980856
923,streatham,STREATHAM_S3_P2341_R2,2023,1,296.0,1399.8675999999998,TBD,TBD,1752.63,56.7624000000003
924,streatham,STREATHAM_S3_P2341_R2,2024,2,215.5,798.0360163043479,TBD,TBD,2082.059483708,1068.523467403652
925,streatham,STREATHAM_S9.1_P2121_R2,2023,1,296.0,1399.8675999999998,TBD,TBD,1506.12,-189.74759999999992
926,streatham,STREATHAM_S9.1_P2121_R2,2024,2,207.0,654.1,TBD,TBD,1462.1144783489,601.0144783489001
