plotID,year,month,day,name,targetPest,unitsAppliedKgOrLitres,appliedAmount,comments
MANANG_S10.2_P1231_R3,2023,5,17,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S10.2_P1231_R3,2023,10,11,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S10.2_P1231_R3,2023,9,26,Sumi-alpha flex,faw,L,0.33,"to control grubs in pulses, podding"
MANANG_S10.2_P2312_R1,2023,4,29,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S10.2_P2312_R1,2023,5,17,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S10.2_P2312_R1,2023,10,11,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S10.2_P2312_R2,2023,4,29,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S10.2_P2312_R2,2023,5,17,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S10.2_P2312_R2,2023,10,11,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S10.2_P2312_R3,2023,4,29,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S10.2_P2312_R3,2023,5,17,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S10.2_P2312_R3,2023,10,11,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S10.2_P3123_R1,2023,4,29,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S10.2_P3123_R1,2023,5,17,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S10.2_P3123_R1,2023,10,11,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S10.2_P3123_R2,2023,4,29,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S10.2_P3123_R2,2023,5,17,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S10.2_P3123_R2,2023,10,11,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S10.2_P3123_R3,2023,4,29,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S10.2_P3123_R3,2023,5,17,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S10.2_P3123_R3,2023,10,11,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S11_P1212_R1,2023,4,29,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S11_P1212_R1,2023,5,17,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S11_P1212_R1,2023,10,11,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S11_P1212_R1,2023,9,26,Sumi-alpha flex,faw,L,0.33,"to control grubs in pulses, podding"
MANANG_S11_P1212_R2,2023,4,29,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S11_P1212_R2,2023,5,17,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S11_P1212_R2,2023,10,11,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S11_P1212_R2,2023,9,26,Sumi-alpha flex,faw,L,0.33,"to control grubs in pulses, podding"
MANANG_S11_P1212_R3,2023,4,29,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S11_P1212_R3,2023,5,17,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S11_P1212_R3,2023,10,11,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S11_P1212_R3,2023,9,26,Sumi-alpha flex,faw,L,0.33,"to control grubs in pulses, podding"
MANANG_S11_P2121_R1,2023,4,29,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S11_P2121_R1,2023,5,17,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S11_P2121_R1,2023,10,11,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S11_P2121_R2,2023,4,29,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S11_P2121_R2,2023,5,17,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S11_P2121_R2,2023,10,11,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S11_P2121_R3,2023,4,29,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S11_P2121_R3,2023,5,17,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S11_P2121_R3,2023,10,11,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S12_P0000_R1,2023,4,29,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S12_P0000_R1,2023,5,17,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S12_P0000_R1,2023,10,11,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S12_P0000_R1,2023,4,29,Pyrinex Super,RLEM,L,1,at sowing - insecticide
MANANG_S12_P0000_R2,2023,4,29,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S12_P0000_R2,2023,5,17,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S12_P0000_R2,2023,10,11,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S12_P0000_R2,2023,4,29,Pyrinex Super,RLEM,L,1,at sowing - insecticide
MANANG_S12_P0000_R3,2023,4,29,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S12_P0000_R3,2023,5,17,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S12_P0000_R3,2023,10,11,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S12_P0000_R3,2023,4,29,Pyrinex Super,RLEM,L,1,at sowing - insecticide
MANANG_S12_P0000_R4,2023,4,29,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S12_P0000_R4,2023,5,17,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S12_P0000_R4,2023,10,11,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S12_P0000_R4,2023,4,29,Pyrinex Super,RLEM,L,1,at sowing - insecticide
MANANG_S12_P0000_R5,2023,4,29,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S12_P0000_R5,2023,5,17,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S12_P0000_R5,2023,10,11,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S12_P0000_R5,2023,4,29,Pyrinex Super,RLEM,L,1,at sowing - insecticide
MANANG_S12_P0000_R6,2023,4,29,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S12_P0000_R6,2023,5,17,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
