,site,plot,year,crop_sequence,operational_costs_dollars,material_input_costs_dollars,crop_1_name,crop_2_name,crop_3_name,crop_1_yield,crop_2_yield,crop_3_yield,plot_revenue_dollars,plot_gross_margin_dollars
0,streatham,STREATHAM_S4_P2312_R1,2023,1,307.0,1275.4,canola,NA,NA,4239.0,NA,NA,2924.91,1342.5099999999998
1,streatham,STREATHAM_S4_P2312_R1,2024,2,259.5,1113.37238442029,Wheat,NA,NA,1526.37486,0.0,NA,549.4949495999999,-823.3774348202901
2,streatham,STREATHAM_S4_P2312_R1,2025,3,204.5,711.0,Wheat,Vetch,NA,0.0,0.0,NA,0.0,-915.5
3,streatham,STREATHAM_S12_P0000_R3,2023,1,296.0,1399.8675999999998,wheat,NA,NA,4138.0,NA,NA,1489.6799999999998,-206.18759999999997
4,streatham,STREATHAM_S12_P0000_R3,2024,2,215.5,2152.9063351449277,Wheat,NA,NA,5272.0,0.0,NA,5842.92439062,3474.5180554750723
5,streatham,STREATHAM_S12_P0000_R3,2025,3,202.0,2405.25,Faba bean,NA,NA,4474.73,0.0,NA,2125.49675,-481.7532500000002
6,streatham,STREATHAM_S2.3_P2341_R2,2023,1,279.0,1185.3999999999999,canola,NA,NA,4052.0,NA,NA,2795.88,1331.4800000000002
7,streatham,STREATHAM_S2.3_P2341_R2,2024,2,248.5,1078.3927757246377,Wheat,NA,NA,2786.195286,0.0,NA,1003.03030296,-323.8624727646377
8,streatham,STREATHAM_S2.3_P2341_R2,2025,3,221.5,1000.3500638,Wheat,NA,NA,6747.43,0.0,NA,2429.0748,1207.2247361999998
9,streatham,STREATHAM_S7_P2341_R1,2023,1,226.5,961.9,Perennial ryegrass,sub clover,NA,0.0,NA,NA,0.0,-1188.4
10,streatham,STREATHAM_S7_P2341_R1,2024,2,248.5,898.9578278985507,Canola,NA,NA,1820.987654,0.0,NA,1256.48148126,109.0236533614493
11,streatham,STREATHAM_S7_P2341_R1,2025,3,230.0,1072.8518261,Wheat,NA,NA,6742.86,0.0,NA,2427.4296,1124.5777739
12,streatham,STREATHAM_S5_P3123_R3,2023,1,285.0,1354.4699999999998,barley,NA,NA,5779.0,NA,NA,1798.4247999999998,158.95479999999998
13,streatham,STREATHAM_S5_P3123_R3,2024,2,248.5,894.4896539855073,Canola,NA,NA,3147.401434,0.0,NA,2171.70698946,1028.7173354744928
14,streatham,STREATHAM_S5_P3123_R3,2025,3,230.0,1061.8728695,Wheat,NA,NA,8550.61,0.0,NA,3078.2196,1786.3467305
15,streatham,STREATHAM_S13_P0000_R8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,streatham,STREATHAM_S7_P3412_R2,2023,1,307.0,1275.4,canola,NA,NA,4625.0,NA,NA,3191.2499999999995,1608.8499999999995
17,streatham,STREATHAM_S7_P3412_R2,2024,2,259.5,1107.6438047101449,Wheat,NA,NA,2724.466891,0.0,NA,980.80808076,-386.3357239501448
18,streatham,STREATHAM_S7_P3412_R2,2025,3,204.5,779.0,Pasture,NA,NA,0.0,0.0,NA,0.0,-983.5
19,streatham,STREATHAM_S1.1_P1212_R1,2023,1,307.0,1225.4,canola,NA,NA,4389.0,NA,NA,3028.41,1496.0099999999998
20,streatham,STREATHAM_S1.1_P1212_R1,2024,2,248.5,1075.0870130434782,Wheat,NA,NA,2511.223345,0.0,NA,904.0404042,-419.5466088434782
21,streatham,STREATHAM_S1.1_P1212_R1,2025,3,243.5,891.45550725,Canola,NA,NA,2984.63,0.0,NA,2059.3947,924.4391927499998
22,streatham,STREATHAM_S2.3_P2341_R1,2023,1,279.0,1185.3999999999999,canola,NA,NA,4363.0,NA,NA,3010.47,1546.07
23,streatham,STREATHAM_S2.3_P2341_R1,2024,2,248.5,1078.3927757246377,Wheat,NA,NA,3108.866442,0.0,NA,1119.19191912,-207.7008566046377
24,streatham,STREATHAM_S2.3_P2341_R1,2025,3,221.5,1000.3500637999999,Wheat,NA,NA,7953.82,0.0,NA,2863.3752,1641.5251362
25,streatham,STREATHAM_S6.2_P1231_R2,2023,1,226.5,961.9,balansa clover,balansa clover,chicory ,0.0,NA,NA,0.0,-1188.4
26,streatham,STREATHAM_S6.2_P1231_R2,2024,2,259.5,1041.8964365942031,Canola,NA,NA,1882.716049,0.0,NA,1299.07407381,-2.322362784203051
27,streatham,STREATHAM_S6.2_P1231_R2,2025,3,230.0,1057.8897695,Wheat,NA,NA,4655.57,0.0,NA,1676.0051999999998,388.1154304999998
28,streatham,STREATHAM_S6.2_P1231_R3,2023,1,226.5,961.9,balansa clover,balansa clover,chicory ,0.0,NA,NA,0.0,-1188.4
29,streatham,STREATHAM_S6.2_P1231_R3,2024,2,259.5,1041.896436594203,Canola,NA,NA,1948.924731,0.0,NA,1344.7580643899998,43.36162779579695
30,streatham,STREATHAM_S6.2_P1231_R3,2025,3,230.0,1057.8897695,Wheat,NA,NA,6296.78,0.0,NA,2266.8408,978.9510304999999
31,streatham,STREATHAM_S9.1_P2121_R3,2023,1,296.0,1399.8675999999998,wheat,NA,NA,5023.0,NA,NA,1808.28,112.41240000000016
32,streatham,STREATHAM_S9.1_P2121_R3,2024,2,280.71471775,654.1,Canola,Field Pea,NA,2948.58871,0.0,NA,2034.5262099,1099.7114921500001
33,streatham,STREATHAM_S9.1_P2121_R3,2025,3,230.0,1072.7083478,Wheat,NA,NA,8019.86,0.0,NA,2887.1496,1584.4412522000002
34,streatham,STREATHAM_S5_P1231_R3,2023,1,307.0,1275.4,canola,NA,NA,4674.0,NA,NA,3225.06,1642.6599999999999
35,streatham,STREATHAM_S5_P1231_R3,2024,2,259.5,1083.0697467391306,Wheat,NA,NA,3122.199821,0.0,NA,1123.99193556,-218.57781117913055
36,streatham,STREATHAM_S5_P1231_R3,2025,3,232.5,978.8171014,Barley,NA,NA,10139.23,0.0,NA,3155.3283759999995,1944.0112745999995
37,streatham,STREATHAM_S10_P2121_R3,2023,1,343.975,1090.88,wheat ,vetch ,NA,3479.0,NA,NA,1252.44,-182.41500000000008
38,streatham,STREATHAM_S10_P2121_R3,2024,2,264.6291442675,819.9151902173915,Canola,Field Pea,NA,1204.077061,761.0887097,NA,1179.3918011326,94.84746664770853
39,streatham,STREATHAM_S10_P2121_R3,2025,3,290.7175,837.57897105,Wheat,Vetch,NA,2768.7,0.0,NA,996.732,-131.56447104999995
40,streatham,STREATHAM_S9.3_P2121_R2,2023,1,296.0,1399.8675999999998,wheat,NA,NA,5221.0,NA,NA,1879.56,183.69240000000013
41,streatham,STREATHAM_S9.3_P2121_R2,2024,2,275.43265992249997,767.4003496376812,Canola,Field Pea,NA,1964.085297,433.2210999,NA,1553.6341186841998,510.8011091240188
