,site,plot,year,crop_sequence,operational_costs_dollars,material_input_costs_dollars,crop_1_name,crop_2_name,crop_3_name,crop_1_yield,crop_2_yield,crop_3_yield,plot_revenue_dollars,plot_gross_margin_dollars
0,streatham,STREATHAM_S4_P2312_R1,2023,1,307.0,1275.4,canola,NA,NA,4239.0,NA,NA,3730.32,2147.92
1,streatham,STREATHAM_S4_P2312_R1,2024,2,215.5,885.3147844202899,Wheat,NA,NA,1526.37486,0.0,NA,488.4399552,-612.3748292202899
2,streatham,STREATHAM_S2.3_P2341_R2,2023,1,279.0,1185.3999999999999,canola,NA,NA,4052.0,NA,NA,3565.76,2101.3600000000006
3,streatham,STREATHAM_S2.3_P2341_R2,2024,2,248.5,1078.3927757246377,Wheat,NA,NA,2786.195286,0.0,NA,891.5824915200001,-435.3102842046376
4,streatham,STREATHAM_S12_P0000_R3,2023,1,296.0,1399.8675999999998,wheat,NA,NA,4138.0,NA,NA,1324.16,-371.70759999999973
5,streatham,STREATHAM_S12_P0000_R3,2024,2,165.5,2152.9063351449277,Canola,NA,NA,3179.136798,0.0,NA,2797.64038224,479.2340470950721
6,streatham,STREATHAM_S7_P2341_R1,2023,1,226.5,961.9,Perennial ryegrass,sub clover,NA,0.0,NA,NA,0.0,-1188.4
7,streatham,STREATHAM_S7_P2341_R1,2024,2,215.5,815.4328278985507,Canola,NA,NA,1820.987654,0.0,NA,1602.46913552,571.5363076214493
8,streatham,STREATHAM_S5_P3123_R3,2023,1,285.0,1354.4699999999998,barley,NA,NA,5779.0,NA,NA,1675.91,36.44000000000028
9,streatham,STREATHAM_S5_P3123_R3,2024,2,215.5,810.9646539855073,Canola,NA,NA,3147.401434,0.0,NA,2769.71326192,1743.2486079344928
10,streatham,STREATHAM_S13_P0000_R8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,streatham,STREATHAM_S7_P3412_R2,2023,1,307.0,1275.4,canola,NA,NA,4625.0,NA,NA,4070.0,2487.6
12,streatham,STREATHAM_S7_P3412_R2,2024,2,215.5,879.586204710145,Wheat,NA,NA,2724.466891,0.0,NA,871.82940512,-223.25679959014496
13,streatham,STREATHAM_S1.1_P1212_R1,2023,1,307.0,1225.4,canola,NA,NA,4389.0,NA,NA,3862.32,2329.92
14,streatham,STREATHAM_S1.1_P1212_R1,2024,2,248.5,1075.0870130434782,Wheat,NA,NA,2511.223345,0.0,NA,803.5914703999999,-519.9955426434783
15,streatham,STREATHAM_S2.3_P2341_R1,2023,1,279.0,1185.3999999999999,canola,NA,NA,4363.0,NA,NA,3839.44,2375.04
16,streatham,STREATHAM_S2.3_P2341_R1,2024,2,248.5,1078.3927757246377,Wheat,NA,NA,3108.866442,0.0,NA,994.83726144,-332.05551428463764
17,streatham,STREATHAM_S6.2_P1231_R2,2023,1,226.5,961.9,balansa clover,balansa clover,chicory ,0.0,NA,NA,0.0,-1188.4
18,streatham,STREATHAM_S6.2_P1231_R2,2024,2,226.5,958.3714365942029,Canola,NA,NA,1882.716049,0.0,NA,1656.79012312,471.91868652579717
19,streatham,STREATHAM_S6.2_P1231_R3,2023,1,226.5,961.9,balansa clover,balansa clover,chicory ,0.0,NA,NA,0.0,-1188.4
20,streatham,STREATHAM_S6.2_P1231_R3,2024,2,226.5,958.3714365942028,Canola,NA,NA,1948.924731,0.0,NA,1715.05376328,530.1823266857973
21,streatham,STREATHAM_S5_P1231_R3,2023,1,307.0,1275.4,canola,NA,NA,4674.0,NA,NA,4113.12,2530.72
22,streatham,STREATHAM_S5_P1231_R3,2024,2,215.5,855.0121467391305,Wheat,NA,NA,3122.199821,0.0,NA,999.10394272,-71.4082040191305
23,streatham,STREATHAM_S10_P2121_R3,2023,1,257.0,1090.88,wheat ,vetch ,NA,3479.0,0.0,NA,1113.28,-234.60000000000014
24,streatham,STREATHAM_S10_P2121_R3,2024,2,215.5,819.9151902173915,Canola,Field Pea,NA,1204.077061,761.0887097,NA,1402.8388217547,367.42363153730844
25,streatham,STREATHAM_S9.1_P2121_R3,2023,1,296.0,1399.8675999999998,wheat,NA,NA,5023.0,NA,NA,1607.36,-88.50759999999991
26,streatham,STREATHAM_S9.1_P2121_R3,2024,2,207.0,654.1,Canola,Field Pea,NA,2948.58871,0.0,NA,2594.7580648,1733.6580648
27,streatham,STREATHAM_S9.3_P2121_R2,2023,1,296.0,1399.8675999999998,wheat,NA,NA,5221.0,NA,NA,1670.72,-25.147599999999784
28,streatham,STREATHAM_S9.3_P2121_R2,2024,2,215.5,767.4003496376812,Canola,Field Pea,NA,1964.085297,433.2210999,NA,1923.7777774149,940.8774277772187
29,streatham,STREATHAM_S2.1_P1234_R1,2023,1,292.5,1266.3500000000001,faba bean,NA,NA,2538.0,NA,NA,1370.52,-188.33000000000015
30,streatham,STREATHAM_S2.1_P1234_R1,2024,2,248.5,825.027963768116,Canola,NA,NA,3097.643098,0.0,NA,2725.92592624,1652.397962471884
31,streatham,STREATHAM_S9.3_P2121_R1,2023,1,296.0,1399.8675999999998,wheat,NA,NA,5778.0,NA,NA,1848.96,153.09240000000023
32,streatham,STREATHAM_S9.3_P2121_R1,2024,2,215.5,767.4003496376812,Canola,Field Pea,NA,1795.735129,444.4444444,NA,1780.6913579444,797.7910083067187
33,streatham,STREATHAM_S8_P2312_R2,2023,1,307.0,1275.4,canola,NA,NA,4494.0,NA,NA,3954.72,2372.3199999999997
34,streatham,STREATHAM_S8_P2312_R2,2024,2,215.5,889.8746394927537,Wheat,NA,NA,2828.282828,0.0,NA,905.05050496,-200.32413453275365
35,streatham,STREATHAM_S5_P1231_R1,2023,1,307.0,1275.4,canola,NA,NA,4612.0,NA,NA,4058.56,2476.16
36,streatham,STREATHAM_S5_P1231_R1,2024,2,215.5,855.0121467391305,Wheat,NA,NA,2993.82716,0.0,NA,958.0246912,-112.48745553913045
37,streatham,STREATHAM_S8_P3123_R3,2023,1,296.0,1399.8675999999998,wheat,NA,NA,5352.0,NA,NA,1712.64,16.77240000000029
38,streatham,STREATHAM_S8_P3123_R3,2024,2,207.0,659.3,Vetch,NA,NA,0.0,0.0,NA,0.0,-866.3
39,streatham,STREATHAM_S6.2_P3123_R2,2023,1,296.0,1399.8675999999998,wheat,NA,NA,6009.0,NA,NA,1922.88,227.0124000000003
40,streatham,STREATHAM_S6.2_P3123_R2,2024,2,218.0,646.475,Pasture,NA,NA,0.0,0.0,NA,0.0,-864.475
41,streatham,STREATHAM_S8_P2312_R3,2023,1,307.0,1275.4,canola,NA,NA,4178.0,NA,NA,3676.64,2094.24
42,streatham,STREATHAM_S8_P2312_R3,2024,2,215.5,889.8746394927537,Wheat,NA,NA,2802.979391,0.0,NA,896.95340512,-208.4212343727537
43,streatham,STREATHAM_S5_P3123_R2,2023,1,285.0,1354.4699999999998,barley,NA,NA,6178.0,NA,NA,1791.62,152.1500000000001
44,streatham,STREATHAM_S5_P3123_R2,2024,2,215.5,810.9646539855073,Canola,NA,NA,2786.195286,0.0,NA,2451.85185168,1425.3871976944927
45,streatham,STREATHAM_S8_P1231_R3,2023,1,248.5,994.926,vetch,NA,NA,0.0,NA,NA,0.0,-1243.426
46,streatham,STREATHAM_S8_P1231_R3,2024,2,215.5,767.276393115942,Canola,NA,NA,3307.011649,0.0,NA,2910.17025112,1927.393858004058
47,streatham,STREATHAM_S9.2_P2121_R2,2023,1,296.0,1399.8675999999998,wheat,NA,NA,4875.0,NA,NA,1560.0,-135.8675999999998
48,streatham,STREATHAM_S9.2_P2121_R2,2024,2,215.5,725.0014067028986,Canola,Field Pea,NA,2035.353535,589.2255892,NA,2056.8518515292,1116.350444826301
49,streatham,STREATHAM_S9.3_P1212_R3,2023,1,276.5,1173.95,canola,field pea,NA,4719.0,0.0,NA,4152.72,2702.2700000000004
50,streatham,STREATHAM_S9.3_P1212_R3,2024,2,215.5,909.8117699275363,Wheat,NA,NA,0.0,0.0,NA,0.0,-1125.3117699275363
51,streatham,STREATHAM_S4_P1231_R1,2023,1,248.5,994.926,wheat,vetch ,NA,0.0,0.0,NA,0.0,-1243.426
52,streatham,STREATHAM_S4_P1231_R1,2024,2,215.5,805.4104510869565,Canola,NA,NA,2592.592593,0.0,NA,2281.48148184,1260.5710307530435
